block_ix,trial_ix,cue,cue_file,cue_mask,ftype,response,qtype,qid,question
-1,-17,pig,pig_3.wav,nomask,visual,yes,visual-yes,3,Does it have a snout?
-1,-16,apple,apple_3.wav,mask,nonvisual,yes,nonvisual-yes,4,Is it nutritious?
-1,-15,alligator,alligator_4.wav,nomask,nonvisual,yes,nonvisual-yes,4,Does it live in water?
-1,-14,pineapple,pineapple_3.wav,nomask,nonvisual,no,nonvisual-no,3,Is it a carnivore?
-1,-13,tiger,tiger_4.wav,nomask,visual,yes,visual-yes,5,Does it have large teeth?
-1,-12,rabbit,rabbit_2.wav,mask,visual,yes,visual-yes,4,Does it have a tail?
-1,-11,chair,chair_3.wav,mask,visual,no,visual-no,5,Does it have a tail?
-1,-10,penguin,penguin_3.wav,nomask,visual,yes,visual-yes,2,Does it have a beak?
-1,-9,grasshopper,grasshopper_1.wav,mask,nonvisual,no,nonvisual-no,2,Is it hunted by people?
-1,-8,deer,deer_4.wav,mask,visual,yes,visual-yes,3,Does it have eyes?
-1,-7,zebra,zebra_3.wav,mask,visual,yes,visual-yes,2,Does it have four legs?
-1,-6,elephant,elephant_4.wav,nomask,visual,yes,visual-yes,5,Does it have large ears?
-1,-5,chicken,chicken_2.wav,nomask,visual,yes,visual-yes,2,Does it have wings?
-1,-4,lion,lion_2.wav,nomask,nonvisual,no,nonvisual-no,2,Does it eat cheese?
-1,-3,donkey,donkey_4.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it an animal?
-1,-2,swan,swan_4.wav,nomask,nonvisual,yes,nonvisual-yes,3,Does it live on water?
-1,-1,camel,camel_4.wav,mask,visual,yes,visual-yes,3,Does it have legs?
0,0,zebra,zebra_1.wav,nomask,visual,yes,visual-yes,4,Does it have a mane?
0,1,donkey,donkey_2.wav,mask,nonvisual,yes,nonvisual-yes,5,Does it make noises?
0,2,lion,lion_3.wav,mask,visual,no,visual-no,1,Is it grey?
0,3,deer,deer_4.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it hunted by people?
0,4,camel,camel_4.wav,mask,visual,no,visual-no,2,Does it have seeds?
0,5,elephant,elephant_4.wav,nomask,visual,yes,visual-yes,5,Does it have large ears?
0,6,rabbit,rabbit_1.wav,nomask,nonvisual,yes,nonvisual-yes,5,Does it eat carrots?
0,7,alligator,alligator_4.wav,nomask,visual,no,visual-no,3,Is it round?
0,8,chicken,chicken_4.wav,nomask,visual,yes,visual-yes,1,Does it have feathers?
0,9,alligator,alligator_3.wav,nomask,nonvisual,no,nonvisual-no,3,Is it used for freight?
0,10,pineapple,pineapple_2.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it juicy?
0,11,chicken,chicken_1.wav,nomask,visual,yes,visual-yes,3,Does it have a beak?
0,12,pig,pig_1.wav,mask,nonvisual,yes,nonvisual-yes,3,Is it eaten as bacon?
0,13,lion,lion_1.wav,mask,nonvisual,yes,nonvisual-yes,3,Is it a mammal?
0,14,tiger,tiger_4.wav,nomask,visual,yes,visual-yes,5,Does it have large teeth?
0,15,alligator,alligator_3.wav,mask,visual,no,visual-no,1,Does it have a long tongue?
0,16,grasshopper,grasshopper_3.wav,mask,visual,yes,visual-yes,4,Does it have antennae?
0,17,rabbit,rabbit_2.wav,mask,visual,yes,visual-yes,4,Does it have a tail?
0,18,donkey,donkey_1.wav,nomask,visual,yes,visual-yes,1,Does it have legs?
0,19,lion,lion_4.wav,mask,visual,yes,visual-yes,2,Does it have fur?
0,20,penguin,penguin_3.wav,nomask,visual,yes,visual-yes,2,Does it have a beak?
0,21,camel,camel_4.wav,mask,visual,yes,visual-yes,2,Is it brown?
0,22,chicken,chicken_3.wav,nomask,nonvisual,yes,nonvisual-yes,1,Does it lay eggs?
0,23,pineapple,pineapple_1.wav,mask,visual,yes,visual-yes,3,Does it have skin?
0,24,apple,apple_1.wav,mask,visual,no,visual-no,3,Does it have a beak?
0,25,pig,pig_2.wav,mask,visual,yes,visual-yes,2,Does it have a tail?
0,26,apple,apple_4.wav,nomask,visual,yes,visual-yes,2,Is it green?
0,27,elephant,elephant_2.wav,nomask,visual,yes,visual-yes,3,Does it have four legs?
0,28,alligator,alligator_1.wav,nomask,visual,yes,visual-yes,3,Does it have scales?
