subj_id,proposition_id,measure,value,question,cue,question_slug,correct_response,feat_type
A13V6ZYVF3A7EW,does-it-grow-on-trees:donkey,difficulty,-2.0,Does it grow on trees?,donkey,does-it-grow-on-trees,no,nonvisual
A13V6ZYVF3A7EW,does-it-grow-on-trees:donkey,facts,4.0,Does it grow on trees?,donkey,does-it-grow-on-trees,no,nonvisual
A13V6ZYVF3A7EW,does-it-grow-on-trees:donkey,imagery,4.0,Does it grow on trees?,donkey,does-it-grow-on-trees,no,nonvisual
A13V6ZYVF3A7EW,does-it-grow-on-trees:donkey,truth,-2.0,Does it grow on trees?,donkey,does-it-grow-on-trees,no,nonvisual
A13V6ZYVF3A7EW,does-it-have-a-tail:swan,difficulty,-2.0,Does it have a tail?,swan,does-it-have-a-tail,no,visual
A13V6ZYVF3A7EW,does-it-have-a-tail:swan,facts,4.0,Does it have a tail?,swan,does-it-have-a-tail,no,visual
A13V6ZYVF3A7EW,does-it-have-a-tail:swan,imagery,4.0,Does it have a tail?,swan,does-it-have-a-tail,no,visual
A13V6ZYVF3A7EW,does-it-have-a-tail:swan,truth,-2.0,Does it have a tail?,swan,does-it-have-a-tail,no,visual
A13V6ZYVF3A7EW,does-it-have-ears:jacket,difficulty,-2.0,Does it have ears?,jacket,does-it-have-ears,no,visual
A13V6ZYVF3A7EW,does-it-have-ears:jacket,facts,3.0,Does it have ears?,jacket,does-it-have-ears,no,visual
A13V6ZYVF3A7EW,does-it-have-ears:jacket,imagery,3.0,Does it have ears?,jacket,does-it-have-ears,no,visual
A13V6ZYVF3A7EW,does-it-have-ears:jacket,truth,-2.0,Does it have ears?,jacket,does-it-have-ears,no,visual
A13V6ZYVF3A7EW,does-it-have-feathers:banana,difficulty,-2.0,Does it have feathers?,banana,does-it-have-feathers,no,visual
A13V6ZYVF3A7EW,does-it-have-feathers:banana,facts,4.0,Does it have feathers?,banana,does-it-have-feathers,no,visual
A13V6ZYVF3A7EW,does-it-have-feathers:banana,imagery,4.0,Does it have feathers?,banana,does-it-have-feathers,no,visual
A13V6ZYVF3A7EW,does-it-have-feathers:banana,truth,-2.0,Does it have feathers?,banana,does-it-have-feathers,no,visual
A13V6ZYVF3A7EW,does-it-have-feathers:pig,difficulty,-2.0,Does it have feathers?,pig,does-it-have-feathers,no,visual
A13V6ZYVF3A7EW,does-it-have-feathers:pig,facts,4.0,Does it have feathers?,pig,does-it-have-feathers,no,visual
A13V6ZYVF3A7EW,does-it-have-feathers:pig,imagery,0.0,Does it have feathers?,pig,does-it-have-feathers,no,visual
A13V6ZYVF3A7EW,does-it-have-feathers:pig,truth,-2.0,Does it have feathers?,pig,does-it-have-feathers,no,visual
A13V6ZYVF3A7EW,does-it-have-fur:pig,difficulty,-2.0,Does it have fur?,pig,does-it-have-fur,no,visual
A13V6ZYVF3A7EW,does-it-have-fur:pig,facts,4.0,Does it have fur?,pig,does-it-have-fur,no,visual
A13V6ZYVF3A7EW,does-it-have-fur:pig,imagery,4.0,Does it have fur?,pig,does-it-have-fur,no,visual
A13V6ZYVF3A7EW,does-it-have-fur:pig,truth,1.0,Does it have fur?,pig,does-it-have-fur,no,visual
A13V6ZYVF3A7EW,does-it-have-whiskers:pig,difficulty,-2.0,Does it have whiskers?,pig,does-it-have-whiskers,no,visual
A13V6ZYVF3A7EW,does-it-have-whiskers:pig,facts,4.0,Does it have whiskers?,pig,does-it-have-whiskers,no,visual
A13V6ZYVF3A7EW,does-it-have-whiskers:pig,imagery,4.0,Does it have whiskers?,pig,does-it-have-whiskers,no,visual
A13V6ZYVF3A7EW,does-it-have-whiskers:pig,truth,-2.0,Does it have whiskers?,pig,does-it-have-whiskers,no,visual
A13V6ZYVF3A7EW,does-it-live-in-grass:giraffe,difficulty,-2.0,Does it live in grass?,giraffe,does-it-live-in-grass,yes,nonvisual
A13V6ZYVF3A7EW,does-it-live-in-grass:giraffe,facts,4.0,Does it live in grass?,giraffe,does-it-live-in-grass,yes,nonvisual
