block_ix,trial_ix,cue,cue_file,cue_mask,ftype,response,qtype,qid,question
-1,-18,penguin,penguin_1.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it a bird?
-1,-17,pig,pig_1.wav,mask,visual,no,visual-no,1,Is it made of glass?
-1,-16,bottle,bottle_1.wav,mask,visual,yes,visual-yes,5,Does it have a cork?
-1,-15,tiger,tiger_3.wav,mask,nonvisual,yes,nonvisual-yes,5,Does it live in India?
-1,-14,pineapple,pineapple_3.wav,nomask,nonvisual,no,nonvisual-no,1,Is it an animal?
-1,-13,mouse,mouse_3.wav,nomask,visual,yes,visual-yes,3,Does it have fur?
-1,-12,table,table_3.wav,nomask,nonvisual,yes,nonvisual-yes,3,Is it found in dining rooms?
-1,-11,donkey,donkey_2.wav,nomask,visual,no,visual-no,4,Is it small?
-1,-10,strawberry,strawberry_4.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it a fruit?
-1,-9,deer,deer_2.wav,mask,visual,yes,visual-yes,3,Does it have eyes?
-1,-8,raccoon,raccoon_4.wav,mask,visual,yes,visual-yes,4,Does it have stripes?
-1,-7,grasshopper,grasshopper_3.wav,mask,nonvisual,no,nonvisual-no,2,Is it hunted by people?
-1,-6,swan,swan_3.wav,nomask,visual,yes,visual-yes,2,Does it have a beak?
-1,-5,chicken,chicken_4.wav,mask,nonvisual,yes,nonvisual-yes,2,Does it live on a farm?
-1,-4,dog,dog_3.wav,mask,nonvisual,yes,nonvisual-yes,1,Does it bark?
-1,-3,giraffe,giraffe_2.wav,mask,nonvisual,yes,nonvisual-yes,3,Does it live in zoos?
-1,-2,lion,lion_2.wav,nomask,nonvisual,yes,nonvisual-yes,3,Is it a mammal?
-1,-1,camel,camel_1.wav,nomask,visual,no,visual-no,4,Does it have a cork?
0,0,strawberry,strawberry_2.wav,nomask,nonvisual,no,nonvisual-no,1,Is is used for riding?
0,1,mouse,mouse_1.wav,nomask,nonvisual,yes,nonvisual-yes,5,Does it eat cheese?
0,2,tiger,tiger_3.wav,nomask,nonvisual,no,nonvisual-no,5,Is it used for relaxing?
0,3,donkey,donkey_3.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it an animal?
0,4,table,table_1.wav,nomask,visual,yes,visual-yes,1,Is it made of wood?
0,5,tiger,tiger_3.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it a carnivore?
0,6,dog,dog_2.wav,mask,nonvisual,yes,nonvisual-yes,3,Is it a pet?
0,7,lion,lion_3.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it a carnivore?
0,8,penguin,penguin_1.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it a bird?
0,9,giraffe,giraffe_3.wav,nomask,visual,no,visual-no,2,Does it have warts?
0,10,penguin,penguin_3.wav,mask,visual,no,visual-no,2,Does it have a tail?
0,11,grasshopper,grasshopper_4.wav,mask,nonvisual,no,nonvisual-no,1,Does it require a conductor?
0,12,pig,pig_2.wav,nomask,visual,yes,visual-yes,2,Does it have a tail?
0,13,tiger,tiger_1.wav,nomask,visual,no,visual-no,3,Does it have large ears?
0,14,dog,dog_4.wav,nomask,visual,no,visual-no,3,Does it have a caboose?
0,15,mouse,mouse_2.wav,nomask,nonvisual,no,nonvisual-no,5,Is it hunted by people?
0,16,penguin,penguin_1.wav,nomask,nonvisual,yes,nonvisual-yes,4,Does it lay eggs?
0,17,dog,dog_1.wav,nomask,nonvisual,yes,nonvisual-yes,2,Is it an animal?
0,18,giraffe,giraffe_3.wav,mask,visual,yes,visual-yes,4,Is it brown?
0,19,pig,pig_4.wav,mask,visual,no,visual-no,5,Does it have fur?
0,20,deer,deer_1.wav,nomask,visual,yes,visual-yes,4,Does it have hooves?
0,21,camel,camel_2.wav,nomask,visual,yes,visual-yes,5,Is it beige?
0,22,grasshopper,grasshopper_3.wav,mask,visual,yes,visual-yes,2,Does it have legs?
0,23,chicken,chicken_4.wav,nomask,visual,yes,visual-yes,3,Does it have a beak?
0,24,camel,camel_1.wav,nomask,visual,no,visual-no,4,Does it have a cork?
0,25,giraffe,giraffe_3.wav,nomask,nonvisual,no,nonvisual-no,4,Is it an insect?
0,26,pineapple,pineapple_4.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it juicy?
0,27,deer,deer_3.wav,mask,visual,yes,visual-yes,1,Does it have antlers?
0,28,camel,camel_4.wav,mask,nonvisual,yes,nonvisual-yes,4,Is it a mammal?
0,29,bottle,bottle_2.wav,mask,visual,yes,visual-yes,1,Is it made of glass?
0,30,mouse,mouse_4.wav,nomask,nonvisual,yes,nonvisual-yes,2,Is it an animal?
0,31,lion,lion_3.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it an animal?
0,32,bottle,bottle_1.wav,mask,visual,yes,visual-yes,5,Does it have a cork?
0,33,mouse,mouse_3.wav,mask,visual,no,visual-no,3,Does it have stripes?
0,34,tiger,tiger_2.wav,nomask,visual,yes,visual-yes,3,Is it orange?
0,35,pig,pig_2.wav,mask,visual,yes,visual-yes,1,Is it pink?
0,36,strawberry,strawberry_2.wav,nomask,nonvisual,no,nonvisual-no,2,Is it an insect?
0,37,table,table_4.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it used for eating on?
0,38,penguin,penguin_1.wav,nomask,nonvisual,yes,nonvisual-yes,2,Is it unable to fly?
0,39,raccoon,raccoon_2.wav,mask,nonvisual,no,nonvisual-no,4,Does it spit?
0,40,strawberry,strawberry_4.wav,mask,visual,yes,visual-yes,2,Does it have seeds?
0,41,pig,pig_1.wav,nomask,nonvisual,yes,nonvisual-yes,3,Is it eaten as bacon?
0,42,lion,lion_1.wav,nomask,visual,no,visual-no,3,Does it have wings?
0,43,bottle,bottle_3.wav,nomask,nonvisual,yes,nonvisual-yes,3,Is it a container?
0,44,swan,swan_4.wav,nomask,visual,yes,visual-yes,4,Does it have wings?
0,45,strawberry,strawberry_4.wav,mask,visual,yes,visual-yes,1,Is it red?
0,46,swan,swan_1.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it graceful?
0,47,table,table_1.wav,mask,nonvisual,no,nonvisual-no,3,Is it healthy?
0,48,raccoon,raccoon_4.wav,nomask,visual,yes,visual-yes,1,Is it black?
0,49,donkey,donkey_1.wav,nomask,nonvisual,yes,nonvisual-yes,2,Is it like a horse?
0,50,deer,deer_1.wav,mask,visual,yes,visual-yes,2,Does it have four legs?
0,51,dog,dog_1.wav,nomask,visual,yes,visual-yes,5,Does it have a nose?
0,52,grasshopper,grasshopper_1.wav,mask,nonvisual,yes,nonvisual-yes,2,Does it live in grass?
0,53,lion,lion_2.wav,nomask,visual,yes,visual-yes,2,Does it have fur?
0,54,donkey,donkey_4.wav,nomask,visual,yes,visual-yes,3,Does it have a tail?
0,55,strawberry,strawberry_4.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it a fruit?
0,56,chicken,chicken_2.wav,mask,visual,yes,visual-yes,1,Does it have feathers?
0,57,pineapple,pineapple_4.wav,mask,visual,no,visual-no,5,Does it have a tail?
0,58,grasshopper,grasshopper_3.wav,nomask,nonvisual,yes,nonvisual-yes,4,Does it fly?
0,59,giraffe,giraffe_1.wav,nomask,visual,yes,visual-yes,3,Does it have long legs?
0,60,pineapple,pineapple_3.wav,mask,visual,yes,visual-yes,2,Does it have an inside?
0,61,donkey,donkey_2.wav,nomask,visual,no,visual-no,4,Is it small?
0,62,table,table_1.wav,mask,visual,yes,visual-yes,3,Does it have legs?
0,63,deer,deer_2.wav,mask,visual,yes,visual-yes,3,Does it have eyes?
0,64,raccoon,raccoon_1.wav,nomask,nonvisual,yes,nonvisual-yes,4,Does it produce offspring?
0,65,swan,swan_2.wav,nomask,visual,yes,visual-yes,3,Does it have feathers?
