subj_id,computer,strategy_coded,strategy
MWPF201,LL-Kramer,guess_answer,I ANSWERED THE QUESTION IN MY HEAD BEFORE I HEARD IT IN THE HEADPHONES
MWPF202,LL-George,guess_answer,"I categorized the words, by either animal, object, or item."
MWPF203,LL-Elaine,,"No, not really."
MWPF204,LL-Jerry,guess_answer,Tried to think of what the answer could be before it was said.
MWPF205,LL-Kramer,speed,"I made sure not to press on the keys before I saw the question mark, because when I did, the answer wouldn't register and I had to press it again. This would make my responses take longer."
MWPF206,LL-George,guess_answer,"The woman kept using the same choices, so I remembered those and would guess the answer to the question before she said them."
MWPF207,LL-Kramer,,"No strategy, just reacted to the question and the word given."
MWPF208,LL-George,avoid_mask,Read the question and then looked down at the keyboard as I was listening to the word
MWPF209,LL-Elaine,imagery,"When I saw the question, I imagined things that had that property."
MWPF210,LL-Kramer,speed,i put my fingers on the two buttons pre question
MWPF211,LL-George,repeat_question,It helped when i kept repeating the questions
MWPF212,LL-Elaine,,None
MWPF213,LL-Jerry,guess_answer,Once I heard the question I would think in advance what would fit that description.  Then once I heard the word I would act accordingly.
MWPF215,LL-George,imagery,i pictured anything that the questions asked
MWPF214,LL-Kramer,,no strategies have been used
MWPF216,LL-Elaine,,No.
MWPF217,LL-Kramer,,not really
MWPF218,LL-George,avoid_mask,at some point I read the question and then closed my eyes so that colorful square would not bother me
MWPF219,LL-Kramer,guess_answer,"When I read each question, before hearing the word, I thought of my schema for the content of each question (ex. if the question was ""does it have antennae?"" I thought of all the things I know that have antennae). This helped me quickly identify whether the word applied to the question."
MWPF220,LL-Jerry,,NA
MWPF221,LL-Elaine,,No I didn't use any particular strategy... Just listened and then responded.
MWPF222,LL-George,,NA
MWPF223,LL-Kramer,,No.
MWPF225,LL-Jerry,,none
MWPF224,LL-George,imagery,"I read the question, then listened to the word and tried to picture what the word looked like. Then I thought of the imagine in correlation to the question and chose my answer."
MWPF302,LL-George,,Just thinking about what the question was.
MWPF301,LL-Kramer,,NA
MWPF303,LL-ELAINE,guess_answer,"Came to know they were talking about the same set of words. After a while i started guessing which word the question was about, and based on that could respond quicker."
MWPF306,LL-ELAINE,,NA
MWPF305,LL-George,guess_answer,after i read the question i thought of broad possible answers so then when i heard the word it made it easy for me to distinguish if it is similar to the object or not
MWPF304,LL-Kramer,guess_answer,"If the question had anything to do with an object (non-living), I knew immediately to press no as soon as I heard the first sound of the name of an animal"
MWPF309,LL-George,avoid_mask,"After the trait was identified, it helped me to look away from the screen to think about whether or not the sound matched"
MWPF308,LL-Kramer,,no strategy
MWPF310,LL-Kramer,repeat_question,I would have to read the sentence to myself to help  me remember it.
MWPF313,LL-Jerry,guess_answer,i tried to identify what word they were saying by the initial letter and sound to make a quicker decision
MWPF311,LL-George,guess_answer,"Throughout the task I noticed that the same words were being repeated. When I saw the question, I started thinking of possible words that have been repeated during the task that would make it yes."
MWPF312,LL-ELAINE,,no i did not
MWPF314,LL-ELAINE,avoid_mask,avoided the colored box
MWPF315,LL-Kramer,,No
MWPF_316,LL-Kramer,,No
