subj_id	seed	initials	date	exp_name	room	block_ix	trial_ix	cue	cue_file	cue_mask	ftype	response	qtype	qid	question	exp_timer	response	rt	is_correct
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	-1	-18	donkey	donkey_2.wav	nomask	nonvisual	no	nonvisual-no	1	Does it lay eggs?	8.25589715631	timeout	2000.0	0
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	-1	-17	apple	apple_4.wav	nomask	nonvisual	yes	nonvisual-yes	2	Does it grow on trees?	13.295801862	timeout	2000.0	0
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	-1	-16	alligator	alligator_2.wav	mask	nonvisual	yes	nonvisual-yes	2	Is it a reptile?	18.1756866297	timeout	2000.0	0
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	-1	-15	chicken	chicken_2.wav	mask	visual	yes	visual-yes	3	Does it have a beak?	22.9676579349	yes	1666.34767537	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	-1	-14	grasshopper	grasshopper_1.wav	mask	visual	yes	visual-yes	1	Is it green?	27.3162963859	yes	986.700078996	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	-1	-13	chair	chair_3.wav	nomask	nonvisual	yes	nonvisual-yes	1	Is it used for sitting on?	31.9735465366	yes	1327.43940875	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	-1	-12	table	table_4.wav	nomask	visual	yes	visual-yes	4	Is it flat?	36.6962241167	yes	1506.93644432	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	-1	-11	dog	dog_3.wav	mask	nonvisual	yes	nonvisual-yes	2	Is it an animal?	40.8788452896	yes	1026.10139432	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	-1	-10	rabbit	rabbit_3.wav	nomask	nonvisual	yes	nonvisual-yes	4	Is it hunted by people?	45.3271002667	yes	1400.40286432	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	-1	-9	strawberry	strawberry_4.wav	nomask	nonvisual	yes	nonvisual-yes	1	Is it a fruit?	49.5507656171	yes	809.352337499	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	-1	-8	bottle	bottle_1.wav	mask	visual	yes	visual-yes	5	Does it have a cork?	53.6904256233	yes	863.007886219	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	-1	-7	pig	pig_1.wav	nomask	nonvisual	yes	nonvisual-yes	2	Does it live on farms?	57.9062511644	yes	1180.25136058	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	-1	-6	raccoon	raccoon_2.wav	nomask	visual	yes	visual-yes	2	Does it have a tail?	62.0215130908	yes	910.388545773	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	-1	-5	camel	camel_3.wav	nomask	nonvisual	yes	nonvisual-yes	4	Is it a mammal?	66.7949623712	yes	1587.38041628	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	-1	-4	tiger	tiger_3.wav	nomask	visual	no	visual-no	5	Does it have warts?	71.4766212475	no	1410.97139876	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	-1	-3	mouse	mouse_2.wav	mask	nonvisual	yes	nonvisual-yes	2	Is it an animal?	75.5996914263	yes	898.832241015	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	-1	-2	swan	swan_3.wav	mask	nonvisual	yes	nonvisual-yes	3	Does it live on water?	80.5313402272	yes	1494.9501286	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	-1	-1	giraffe	giraffe_2.wav	mask	visual	no	visual-no	1	Is it green?	84.7549869476	no	920.566610643	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	0	apple	apple_4.wav	mask	visual	yes	visual-yes	3	Does it have seeds?	104.174017914	yes	817.914534709	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	1	alligator	alligator_4.wav	nomask	visual	yes	visual-yes	2	Is it long?	108.457231977	yes	974.268924503	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	2	giraffe	giraffe_1.wav	nomask	nonvisual	yes	nonvisual-yes	3	Does it live in zoos?	112.695534046	yes	948.636701971	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	3	chair	chair_1.wav	nomask	nonvisual	yes	nonvisual-yes	5	Is it found at tables?	117.527597878	yes	1640.65081824	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	4	mouse	mouse_2.wav	mask	nonvisual	yes	nonvisual-yes	2	Is it an animal?	121.359799724	yes	582.540417614	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	5	chair	chair_2.wav	nomask	visual	yes	visual-yes	1	Does it have legs?	125.86647877	yes	1154.190648	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	6	pig	pig_3.wav	nomask	visual	yes	visual-yes	1	Is it pink?	129.615805618	yes	624.450319854	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	7	dog	dog_4.wav	nomask	nonvisual	yes	nonvisual-yes	3	Is it a pet?	133.496385399	yes	738.814584329	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	8	tiger	tiger_3.wav	mask	nonvisual	yes	nonvisual-yes	2	Is it an animal?	137.695646206	yes	948.466370581	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	9	rabbit	rabbit_3.wav	nomask	visual	yes	visual-yes	4	Does it have a tail?	142.152669451	yes	1388.76101357	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	10	mouse	mouse_3.wav	mask	visual	yes	visual-yes	3	Does it have fur?	146.167345331	yes	773.29757897	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	11	alligator	alligator_2.wav	nomask	visual	yes	visual-yes	1	Is it green?	150.390984828	yes	965.198774531	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	12	camel	camel_4.wav	nomask	nonvisual	yes	nonvisual-yes	1	Does it live in the desert?	154.231821109	yes	823.100899288	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	13	strawberry	strawberry_2.wav	mask	nonvisual	no	nonvisual-no	3	Is it furniture?	158.457422459	no	865.486436989	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	14	dog	dog_1.wav	mask	visual	yes	visual-yes	4	Does it have hair?	162.720303585	yes	1030.58248037	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	15	donkey	donkey_3.wav	mask	nonvisual	yes	nonvisual-yes	1	Is it an animal?	167.41840477	yes	1552.97118129	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	16	swan	swan_4.wav	nomask	nonvisual	yes	nonvisual-yes	2	Is it a bird?	171.750450352	yes	999.128572119	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	17	raccoon	raccoon_1.wav	nomask	nonvisual	yes	nonvisual-yes	3	Is it nocturnal?	176.389359075	timeout	2000.0	0
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	18	strawberry	strawberry_3.wav	nomask	visual	yes	visual-yes	3	Does it have green leaves?	180.580560695	yes	792.47887776	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	19	raccoon	raccoon_2.wav	nomask	visual	yes	visual-yes	2	Does it have a tail?	184.421538032	yes	600.502401765	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	20	camel	camel_2.wav	nomask	nonvisual	no	nonvisual-no	1	Is it a bird?	188.369686552	no	770.366965386	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	21	table	table_3.wav	mask	nonvisual	yes	nonvisual-yes	2	Is it found in kitchens?	192.468298199	yes	909.373400791	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	22	chair	chair_3.wav	nomask	visual	yes	visual-yes	4	Does it have a seat?	196.741759265	yes	915.942187654	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	23	apple	apple_1.wav	nomask	visual	yes	visual-yes	4	Is it round?	200.665605517	yes	687.084769597	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	24	bottle	bottle_4.wav	nomask	visual	yes	visual-yes	4	Does it have a neck?	204.48105899	yes	670.980843017	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	25	chicken	chicken_1.wav	nomask	nonvisual	yes	nonvisual-yes	3	Does it eat grain?	208.779889939	no	1184.79175842	0
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	26	mouse	mouse_3.wav	mask	nonvisual	yes	nonvisual-yes	4	Is it used in experiments?	212.994749381	yes	994.042201142	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	27	donkey	donkey_1.wav	mask	visual	yes	visual-yes	3	Does it have a tail?	217.076804658	yes	791.972445848	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	28	strawberry	strawberry_1.wav	mask	visual	yes	visual-yes	1	Is it red?	221.175456986	yes	713.992196717	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	29	rabbit	rabbit_2.wav	nomask	nonvisual	yes	nonvisual-yes	1	Does it hop?	225.198905316	yes	889.819882112	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	30	table	table_4.wav	nomask	visual	no	visual-no	2	Does it have a nose?	229.097347088	no	653.378912248	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	31	bottle	bottle_3.wav	nomask	visual	no	visual-no	3	Does it have armrests?	233.329804659	no	1019.87136935	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	32	donkey	donkey_3.wav	mask	nonvisual	yes	nonvisual-yes	5	Does it make noises?	237.394259146	yes	918.658746232	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	33	chicken	chicken_3.wav	nomask	visual	yes	visual-yes	1	Does it have feathers?	241.235127745	yes	643.354069674	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	34	swan	swan_1.wav	nomask	visual	no	visual-no	1	Does it have a hump?	245.375747006	no	705.383994791	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	35	table	table_3.wav	mask	visual	yes	visual-yes	2	Is it round?	249.157008341	yes	557.601307286	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	36	giraffe	giraffe_2.wav	nomask	visual	yes	visual-yes	3	Does it have long legs?	253.44805613	yes	963.234639959	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	37	rabbit	rabbit_2.wav	nomask	visual	yes	visual-yes	2	Does it have feet?	257.529122496	yes	952.90297264	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	38	grasshopper	grasshopper_4.wav	mask	nonvisual	yes	nonvisual-yes	3	Is it found in summer?	261.78695185	yes	960.32455744	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	39	apple	apple_3.wav	mask	nonvisual	yes	nonvisual-yes	4	Is it nutritious?	265.902203891	no	898.355084821	0
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	40	grasshopper	grasshopper_2.wav	mask	visual	yes	visual-yes	4	Does it have antennae?	270.37487862	yes	1196.6571692	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	41	tiger	tiger_3.wav	nomask	visual	no	visual-no	5	Does it have warts?	274.432501979	no	770.714472048	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	42	camel	camel_2.wav	nomask	nonvisual	no	nonvisual-no	5	Does it live in a coop?	278.71377434	yes	1077.14646147	0
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	43	tiger	tiger_4.wav	mask	visual	yes	visual-yes	5	Does it have large teeth?	283.71183796	yes	1911.82609764	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	44	table	table_4.wav	nomask	visual	yes	visual-yes	4	Is it flat?	287.844674823	yes	858.169788553	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	45	bottle	bottle_2.wav	nomask	nonvisual	no	nonvisual-no	2	Is it juicy?	291.884719444	no	857.820761099	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	46	raccoon	raccoon_2.wav	nomask	visual	no	visual-no	2	Does it have seeds?	296.233382988	no	1119.48713503	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	47	donkey	donkey_4.wav	mask	visual	yes	visual-yes	2	Does it have four legs?	300.264656299	yes	944.516049582	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	48	rabbit	rabbit_1.wav	mask	visual	no	visual-no	4	Is it flat?	304.605476232	no	1081.49637701	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	49	alligator	alligator_2.wav	mask	nonvisual	yes	nonvisual-yes	2	Is it a reptile?	308.711951641	yes	828.675452445	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	50	camel	camel_3.wav	mask	nonvisual	yes	nonvisual-yes	5	Does it spit?	313.027391807	yes	1133.63453106	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	51	grasshopper	grasshopper_4.wav	nomask	nonvisual	no	nonvisual-no	2	Is it hunted by people?	317.142644989	no	871.727107733	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	52	bottle	bottle_1.wav	nomask	nonvisual	no	nonvisual-no	4	Does it fly?	321.174891243	no	771.772199951	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	53	camel	camel_2.wav	nomask	visual	no	visual-no	2	Does it have seeds?	325.264749449	no	936.042820103	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	54	mouse	mouse_2.wav	nomask	visual	yes	visual-yes	2	Is it grey?	329.588121434	yes	1048.97257435	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	55	chicken	chicken_4.wav	nomask	nonvisual	no	nonvisual-no	5	Is it comfortable?	333.504043851	no	828.757576528	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	56	pig	pig_2.wav	mask	visual	yes	visual-yes	3	Does it have a snout?	337.693516683	yes	1180.13463786	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	57	bottle	bottle_3.wav	nomask	nonvisual	yes	nonvisual-yes	1	Is it used for holding things?	342.417181273	no	1518.46765564	0
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	58	table	table_4.wav	mask	nonvisual	no	nonvisual-no	2	Is it a mammal?	347.007050125	no	1361.96878826	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	59	raccoon	raccoon_3.wav	nomask	nonvisual	yes	nonvisual-yes	2	Is it furry?	351.206262266	yes	1021.7286665	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	60	rabbit	rabbit_4.wav	mask	nonvisual	no	nonvisual-no	3	Does it roar?	355.296128077	no	894.548480981	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	61	dog	dog_2.wav	nomask	nonvisual	yes	nonvisual-yes	1	Does it bark?	359.203374236	yes	749.881946598	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	62	giraffe	giraffe_2.wav	mask	visual	yes	visual-yes	2	Is it tall?	363.335225609	yes	803.849262767	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	63	alligator	alligator_4.wav	mask	visual	no	visual-no	4	Is it small?	367.866496639	no	1216.40763362	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	64	apple	apple_2.wav	mask	nonvisual	yes	nonvisual-yes	1	Is it a fruit?	371.907520666	yes	733.003544214	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	65	chicken	chicken_1.wav	nomask	visual	yes	visual-yes	2	Does it have wings?	376.089186006	yes	1093.24126312	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	66	pig	pig_4.wav	mask	visual	yes	visual-yes	2	Does it have a tail?	380.162450583	no	1066.6087236	0
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	67	alligator	alligator_2.wav	mask	visual	yes	visual-yes	5	Does it have jaws?	385.427119049	yes	1965.33830947	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	68	tiger	tiger_1.wav	nomask	visual	yes	visual-yes	1	Does it have stripes?	389.426151429	yes	808.711313293	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	0	69	chicken	chicken_4.wav	nomask	nonvisual	yes	nonvisual-yes	4	Is it eaten by frying?	394.100006996	yes	1564.8985653	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	1	70	donkey	donkey_2.wav	nomask	nonvisual	no	nonvisual-no	1	Does it lay eggs?	402.27192162	no	944.209605048	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	1	71	apple	apple_4.wav	nomask	nonvisual	yes	nonvisual-yes	2	Does it grow on trees?	406.406320742	yes	964.902215288	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	1	72	dog	dog_3.wav	nomask	visual	yes	visual-yes	3	Does it have a tail?	410.719222665	yes	1128.20559618	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	1	73	strawberry	strawberry_1.wav	nomask	nonvisual	yes	nonvisual-yes	3	Is it used for making jam?	415.117675462	yes	1004.73544258	1
MWPF101	101	PME	2014_Apr_08_1151	MWP-F1	LL-Jerry	1	74	mouse	mouse_1.wav	nomask	visual	no	visual-no	2	Is it large?	419.790554665	no	1427.7520887	1
