cue,feat_type,response,question_id,question,proposition_id
alligator,nonvisual,no,1,Is it a mammal?,alligator:nonvisual:no:1
alligator,nonvisual,no,2,Does it live in the desert?,alligator:nonvisual:no:2
alligator,nonvisual,no,3,Is it used for freight?,alligator:nonvisual:no:3
alligator,nonvisual,no,5,Is it a pet?,alligator:nonvisual:no:5
alligator,nonvisual,yes,1,Is it an animal?,alligator:nonvisual:yes:1
alligator,nonvisual,yes,2,Is it a reptile?,alligator:nonvisual:yes:2
alligator,nonvisual,yes,3,Does it live in swamps?,alligator:nonvisual:yes:3
alligator,nonvisual,yes,4,Does it live in water?,alligator:nonvisual:yes:4
alligator,nonvisual,yes,6,Is it found in summer?,alligator:nonvisual:yes:6
alligator,nonvisual,yes,5,Does it eat people?,alligator:nonvisual:yes:5
alligator,visual,no,2,Is it grey?,alligator:visual:no:2
alligator,visual,no,3,Is it round?,alligator:visual:no:3
alligator,visual,no,4,Is it small?,alligator:visual:no:4
alligator,visual,no,5,Is it made of metal?,alligator:visual:no:5
alligator,visual,yes,1,Does it have a long tongue?,alligator:visual:yes:1
alligator,visual,yes,2,Is it long?,alligator:visual:yes:2
alligator,visual,yes,3,Does it have scales?,alligator:visual:yes:3
alligator,visual,yes,4,Does it have a tail?,alligator:visual:yes:4
alligator,visual,yes,5,Does it have jaws?,alligator:visual:yes:5
apple,nonvisual,no,1,Is it an animal?,apple:nonvisual:no:1
apple,nonvisual,no,2,Does it live in Africa?,apple:nonvisual:no:2
apple,nonvisual,no,3,Is it fast?,apple:nonvisual:no:3
apple,nonvisual,no,4,Is it timid?,apple:nonvisual:no:4
apple,nonvisual,no,5,Is it used in experiments?,apple:nonvisual:no:5
apple,nonvisual,yes,1,Is it a fruit?,apple:nonvisual:yes:1
apple,nonvisual,yes,2,Does it grow on trees?,apple:nonvisual:yes:2
apple,nonvisual,yes,3,Is it eaten in pies?,apple:nonvisual:yes:3
apple,nonvisual,yes,4,Is it nutritious?,apple:nonvisual:yes:4
apple,nonvisual,yes,5,Is it used for cider?,apple:nonvisual:yes:5
apple,visual,no,1,Is it black?,apple:visual:no:1
apple,visual,no,2,Does it have pockets?,apple:visual:no:2
apple,visual,no,3,Does it have a beak?,apple:visual:no:3
apple,visual,no,4,Does it have a hood?,apple:visual:no:4
apple,visual,no,5,Does it have eyes?,apple:visual:no:5
apple,visual,yes,1,Is it red?,apple:visual:yes:1
apple,visual,yes,3,Does it have seeds?,apple:visual:yes:3
apple,visual,yes,4,Is it round?,apple:visual:yes:4
apple,visual,yes,5,Does it have a core?,apple:visual:yes:5
banana,nonvisual,no,1,Is it fast?,banana:nonvisual:no:1
