block_ix,trial_ix,cue,cue_file,cue_mask,ftype,response,qtype,qid,question
-1,-20,strawberry,strawberry_1.wav,mask,visual,yes,visual-yes,4,Is it small?
-1,-19,deer,deer_2.wav,nomask,visual,yes,visual-yes,1,Does it have antlers?
-1,-18,chair,chair_3.wav,mask,nonvisual,yes,nonvisual-yes,5,Is it found at tables?
-1,-17,pig,pig_4.wav,mask,nonvisual,yes,nonvisual-yes,2,Does it live on farms?
-1,-16,mouse,mouse_4.wav,mask,visual,no,visual-no,2,Is it large?
-1,-15,chicken,chicken_4.wav,mask,visual,yes,visual-yes,4,Does it have legs?
-1,-14,penguin,penguin_1.wav,mask,visual,no,visual-no,1,Is it red?
-1,-13,grasshopper,grasshopper_3.wav,mask,visual,yes,visual-yes,2,Does it have legs?
-1,-12,swan,swan_3.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it graceful?
-1,-11,elephant,elephant_3.wav,mask,nonvisual,yes,nonvisual-yes,3,Does it live in zoos?
-1,-10,tiger,tiger_2.wav,mask,visual,yes,visual-yes,4,Does it have whiskers?
-1,-9,raccoon,raccoon_2.wav,nomask,nonvisual,yes,nonvisual-yes,1,Does it eat garbage?
-1,-8,alligator,alligator_3.wav,mask,nonvisual,yes,nonvisual-yes,3,Does it live in swamps?
-1,-7,table,table_2.wav,mask,visual,yes,visual-yes,3,Does it have legs?
-1,-6,camel,camel_1.wav,nomask,visual,yes,visual-yes,5,Is it beige?
-1,-5,rabbit,rabbit_3.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it a pet?
-1,-4,giraffe,giraffe_1.wav,nomask,visual,no,visual-no,2,Does it have warts?
-1,-3,lion,lion_1.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it an animal?
-1,-2,zebra,zebra_1.wav,nomask,visual,yes,visual-yes,2,Does it have four legs?
-1,-1,dog,dog_2.wav,nomask,nonvisual,no,nonvisual-no,4,Is it prickly?
0,0,tiger,tiger_3.wav,nomask,visual,yes,visual-yes,3,Is it orange?
0,1,penguin,penguin_1.wav,nomask,visual,yes,visual-yes,3,Does it have feet?
0,2,tiger,tiger_4.wav,nomask,visual,no,visual-no,2,Is it brown?
0,3,camel,camel_1.wav,mask,visual,yes,visual-yes,3,Does it have legs?
0,4,pig,pig_3.wav,nomask,visual,no,visual-no,3,Does it have whiskers?
0,5,rabbit,rabbit_1.wav,mask,visual,yes,visual-yes,4,Does it have a tail?
0,6,lion,lion_4.wav,nomask,nonvisual,yes,nonvisual-yes,5,Does it roar?
0,7,rabbit,rabbit_2.wav,mask,nonvisual,no,nonvisual-no,4,Is it used for making jam?
0,8,mouse,mouse_1.wav,mask,nonvisual,yes,nonvisual-yes,4,Is it used in experiments?
0,9,deer,deer_3.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it hunted by people?
0,10,zebra,zebra_3.wav,mask,nonvisual,yes,nonvisual-yes,2,Does it run fast?
0,11,elephant,elephant_2.wav,nomask,nonvisual,yes,nonvisual-yes,4,Is it used in circuses?
0,12,deer,deer_1.wav,nomask,visual,yes,visual-yes,3,Does it have eyes?
0,13,penguin,penguin_2.wav,mask,nonvisual,yes,nonvisual-yes,5,Does it waddle?
0,14,alligator,alligator_4.wav,mask,visual,no,visual-no,3,Is it round?
0,15,raccoon,raccoon_3.wav,mask,visual,yes,visual-yes,2,Does it have a tail?
0,16,elephant,elephant_4.wav,nomask,visual,no,visual-no,1,Is it made of wood?
0,17,camel,camel_1.wav,nomask,visual,yes,visual-yes,5,Is it beige?
0,18,swan,swan_4.wav,nomask,visual,yes,visual-yes,1,Does it have a long neck?
0,19,pig,pig_2.wav,nomask,nonvisual,yes,nonvisual-yes,5,Does it like mud?
0,20,rabbit,rabbit_2.wav,nomask,visual,yes,visual-yes,1,Does it have ears?
0,21,elephant,elephant_4.wav,nomask,visual,no,visual-no,5,Does it have hooves?
0,22,table,table_4.wav,nomask,visual,yes,visual-yes,4,Is it flat?
0,23,strawberry,strawberry_1.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it a fruit?
0,24,dog,dog_2.wav,nomask,visual,yes,visual-yes,4,Does it have hair?
0,25,alligator,alligator_3.wav,mask,nonvisual,yes,nonvisual-yes,3,Does it live in swamps?
0,26,tiger,tiger_3.wav,mask,visual,yes,visual-yes,5,Does it have large teeth?
0,27,chair,chair_1.wav,nomask,visual,no,visual-no,5,Does it have a tail?
0,28,chicken,chicken_4.wav,nomask,nonvisual,yes,nonvisual-yes,4,Is it eaten by frying?
0,29,deer,deer_4.wav,nomask,visual,yes,visual-yes,5,Does it have a white tail?
0,30,mouse,mouse_4.wav,nomask,visual,yes,visual-yes,4,Does it have whiskers?
0,31,tiger,tiger_1.wav,nomask,nonvisual,no,nonvisual-no,1,Is it used for sitting on?
0,32,giraffe,giraffe_4.wav,mask,nonvisual,no,nonvisual-no,4,Is it an insect?
0,33,table,table_2.wav,nomask,visual,yes,visual-yes,1,Is it made of wood?
0,34,dog,dog_4.wav,nomask,nonvisual,yes,nonvisual-yes,1,Does it bark?
0,35,raccoon,raccoon_3.wav,nomask,visual,yes,visual-yes,4,Does it have stripes?
0,36,penguin,penguin_4.wav,mask,visual,yes,visual-yes,4,Does it have wings?
0,37,strawberry,strawberry_2.wav,nomask,nonvisual,yes,nonvisual-yes,2,Does it taste sweet?
0,38,alligator,alligator_3.wav,nomask,nonvisual,yes,nonvisual-yes,4,Does it live in water?
0,39,lion,lion_1.wav,mask,visual,yes,visual-yes,2,Does it have fur?
0,40,elephant,elephant_1.wav,mask,visual,yes,visual-yes,2,Does it have ears?
0,41,camel,camel_2.wav,nomask,visual,no,visual-no,5,Does it have green leaves?
0,42,pig,pig_2.wav,nomask,visual,yes,visual-yes,5,Is it muddy?
0,43,dog,dog_4.wav,mask,visual,yes,visual-yes,5,Does it have a nose?
0,44,zebra,zebra_4.wav,mask,visual,yes,visual-yes,3,Does it have jaws?
0,45,rabbit,rabbit_2.wav,nomask,nonvisual,yes,nonvisual-yes,3,Is it edible?
0,46,swan,swan_3.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it graceful?
0,47,dog,dog_2.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it an animal?
0,48,table,table_2.wav,nomask,nonvisual,no,nonvisual-no,2,Is it a mammal?
0,49,tiger,tiger_1.wav,nomask,visual,yes,visual-yes,2,Does it have teeth?
0,50,table,table_3.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it found in kitchens?
0,51,pig,pig_2.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it an animal?
0,52,chair,chair_2.wav,nomask,visual,yes,visual-yes,1,Does it have legs?
0,53,camel,camel_3.wav,mask,nonvisual,yes,nonvisual-yes,3,Does it eat?
0,54,lion,lion_3.wav,nomask,nonvisual,no,nonvisual-no,3,Does it waddle?
0,55,chair,chair_4.wav,mask,visual,no,visual-no,2,Does it have a tail?
0,56,giraffe,giraffe_2.wav,nomask,visual,yes,visual-yes,4,Is it brown?
0,57,chicken,chicken_3.wav,nomask,visual,yes,visual-yes,2,Does it have wings?
