subj_id,seed,experimenter,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,correct_response,response,rt,is_correct
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,0,practice,1,is-it-flat:table,visual,Is it flat?,table,table_2.wav,nomask,yes,yes,1473.32001547,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,0,practice,2,does-it-have-a-skin:table,visual,Does it have a skin?,table,table_1.wav,mask,no,no,1040.03366071,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,0,practice,3,is-it-an-animal:alligator,nonvisual,Is it an animal?,alligator,alligator_2.wav,nomask,yes,yes,1098.2740426,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,0,practice,4,is-it-used-by-riding:swan,nonvisual,Is it used by riding?,swan,swan_3.wav,nomask,no,timeout,2000.0,0
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,0,practice,5,does-it-have-scales:elephant,visual,Does it have scales?,elephant,elephant_4.wav,mask,no,no,915.032420424,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,0,practice,6,does-it-lay-eggs:elephant,nonvisual,Does it lay eggs?,elephant,elephant_4.wav,mask,no,no,1014.98693554,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,8,does-it-have-a-neck:table,visual,Does it have a neck?,table,table_4.wav,mask,no,no,865.05676317,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,9,does-it-grow-on-trees:donkey,nonvisual,Does it grow on trees?,donkey,donkey_3.wav,nomask,no,no,965.101223672,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,10,does-it-have-a-seat:rabbit,visual,Does it have a seat?,rabbit,rabbit_4.wav,nomask,no,no,1998.33425146,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,11,does-it-have-four-legs:zebra,visual,Does it have four legs?,zebra,zebra_2.wav,nomask,yes,yes,1015.06055612,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,12,does-it-have-sleeves:jacket,visual,Does it have sleeves?,jacket,jacket_1.wav,mask,yes,yes,1089.89952703,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,13,does-it-eat-peanuts:elephant,nonvisual,Does it eat peanuts?,elephant,elephant_4.wav,mask,yes,yes,798.361843219,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,14,does-it-have-a-beak:apple,visual,Does it have a beak?,apple,apple_4.wav,nomask,no,no,1198.40396696,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,15,is-it-used-for-holding-liquids:bottle,nonvisual,Is it used for holding liquids?,bottle,bottle_2.wav,nomask,yes,yes,1373.61228967,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,16,does-it-have-a-cork:camel,visual,Does it have a cork?,camel,camel_4.wav,nomask,no,no,690.079545602,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,17,does-it-live-in-africa:zebra,nonvisual,Does it live in Africa?,zebra,zebra_1.wav,mask,yes,yes,1114.94209082,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,18,does-it-have-a-snout:pig,visual,Does it have a snout?,pig,pig_3.wav,mask,yes,yes,1064.9987628,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,19,is-it-loud:train,nonvisual,Is it loud?,train,train_1.wav,nomask,yes,yes,882.009371533,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,20,is-it-used-for-relaxing:tiger,nonvisual,Is it used for relaxing?,tiger,tiger_2.wav,nomask,no,no,1098.32813777,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,21,does-it-make-noises:donkey,nonvisual,Does it make noises?,donkey,donkey_3.wav,nomask,yes,yes,790.052946075,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,22,does-it-have-whiskers:toad,visual,Does it have whiskers?,toad,toad_1.wav,mask,no,no,848.364708014,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,23,is-it-smelly:pig,nonvisual,Is it smelly?,pig,pig_3.wav,mask,yes,yes,873.412073357,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,24,does-it-have-legs:pineapple,visual,Does it have legs?,pineapple,pineapple_4.wav,nomask,no,no,965.088740224,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,25,does-it-produce-offspring:raccoon,nonvisual,Does it produce offspring?,raccoon,raccoon_3.wav,mask,yes,yes,781.691554235,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,26,is-it-loud:deer,nonvisual,Is it loud?,deer,deer_2.wav,nomask,no,no,1106.68376798,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,27,does-it-have-hair:dog,visual,Does it have hair?,dog,dog_1.wav,nomask,yes,yes,973.385793972,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,28,is-it-red:zebra,visual,Is it red?,zebra,zebra_4.wav,nomask,no,no,706.752715399,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,29,does-it-spit:camel,nonvisual,Does it spit?,camel,camel_2.wav,nomask,yes,yes,490.002147853,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,30,does-it-have-whiskers:rabbit,visual,Does it have whiskers?,rabbit,rabbit_3.wav,nomask,yes,no,515.058475663,0
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,31,is-it-found-at-tables:chair,nonvisual,Is it found at tables?,chair,chair_1.wav,mask,yes,yes,1040.02021695,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,32,does-it-have-sleeves:bike,visual,Does it have sleeves?,bike,bike_4.wav,mask,no,no,748.344254214,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,33,is-it-furniture:donkey,nonvisual,Is it furniture?,donkey,donkey_4.wav,mask,no,no,698.362515424,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,34,is-it-black:penguin,visual,Is it black?,penguin,penguin_3.wav,nomask,yes,yes,1056.64825405,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,35,is-it-pink:dog,visual,Is it pink?,dog,dog_2.wav,nomask,no,no,1031.70587821,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,36,is-it-black:tiger,visual,Is it black?,tiger,tiger_1.wav,mask,no,no,790.09967926,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,37,is-it-fast:apple,nonvisual,Is it fast?,apple,apple_3.wav,nomask,no,no,1548.35936252,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,38,is-it-large:camel,visual,Is it large?,camel,camel_1.wav,mask,yes,yes,865.038197953,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,39,is-it-green:giraffe,visual,Is it green?,giraffe,giraffe_1.wav,mask,no,no,973.090991029,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,40,is-it-a-fruit:chair,nonvisual,Is it a fruit?,chair,chair_1.wav,mask,no,no,881.691202172,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,41,does-it-eat-leaves:giraffe,nonvisual,Does it eat leaves?,giraffe,giraffe_2.wav,mask,yes,no,831.760997768,0
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,42,does-it-have-feet:bike,visual,Does it have feet?,bike,bike_3.wav,nomask,no,no,1056.68090319,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,43,is-it-clothing:jacket,nonvisual,Is it clothing?,jacket,jacket_3.wav,mask,yes,yes,815.010046004,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,44,does-it-eat:mouse,nonvisual,Does it eat?,mouse,mouse_2.wav,mask,yes,yes,740.056162933,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,45,is-it-a-fruit:strawberry,nonvisual,Is it a fruit?,strawberry,strawberry_2.wav,mask,yes,yes,923.324352712,1
PV_103,103,NS,2016_Feb_18_1408,LL-ELAINE,1,test,46,is-it-prickly:dog,nonvisual,Is it prickly?,dog,dog_1.wav,nomask,no,no,832.029233221,1
