subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,correct_response,response,rt,is_correct
MWPR127,127,2016_Jan_28_1426,LL-Kramer,0,practice,0,does-it-eat:camel,nonvisual,Does it eat?,camel,camel_1.wav,nomask,yes,no,1991.97187067,0
MWPR127,127,2016_Jan_28_1426,LL-Kramer,0,practice,1,does-it-taste-good:strawberry,nonvisual,Does it taste good?,strawberry,strawberry_3.wav,mask,yes,yes,425.956903346,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,0,practice,2,does-it-have-four-legs:elephant,visual,Does it have four legs?,elephant,elephant_4.wav,mask,yes,yes,555.563451067,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,0,practice,3,does-it-travel-in-herds:zebra,nonvisual,Does it travel in herds?,zebra,zebra_4.wav,nomask,yes,yes,511.649605978,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,0,practice,4,is-it-worn-in-cold-temperatures:banana,nonvisual,Is it worn in cold temperatures?,banana,banana_2.wav,nomask,no,no,590.799067912,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,0,practice,5,does-it-live-in-the-desert:camel,nonvisual,Does it live in the desert?,camel,camel_3.wav,mask,yes,yes,603.905074677,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,0,practice,6,does-it-have-a-tail:elephant,visual,Does it have a tail?,elephant,elephant_4.wav,nomask,yes,yes,157.980436212,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,0,practice,7,is-it-a-mammal:camel,nonvisual,Is it a mammal?,camel,camel_3.wav,nomask,yes,yes,520.591586799,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,9,is-it-like-a-horse:donkey,nonvisual,Is it like a horse?,donkey,donkey_1.wav,mask,yes,yes,660.809374735,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,10,does-it-produce-offspring:raccoon,nonvisual,Does it produce offspring?,raccoon,raccoon_2.wav,nomask,yes,no,337.901310442,0
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,11,does-it-live-in-grass:grasshopper,nonvisual,Does it live in grass?,grasshopper,grasshopper_1.wav,mask,yes,yes,241.37778717,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,12,is-it-used-for-transportation:train,nonvisual,Is it used for transportation?,train,train_3.wav,nomask,yes,yes,479.732982523,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,13,does-it-have-a-long-tongue:alligator,visual,Does it have a long tongue?,alligator,alligator_1.wav,mask,yes,yes,287.870261891,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,14,does-it-have-feathers:chicken,visual,Does it have feathers?,chicken,chicken_4.wav,nomask,yes,yes,450.007362029,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,15,is-it-green:grasshopper,visual,Is it green?,grasshopper,grasshopper_2.wav,nomask,yes,yes,273.032578567,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,16,does-it-bark:toad,nonvisual,Does it bark?,toad,toad_4.wav,mask,no,no,738.653517445,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,17,does-it-have-feet:penguin,visual,Does it have feet?,penguin,penguin_3.wav,nomask,yes,yes,626.266428517,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,18,does-it-have-feet:rabbit,visual,Does it have feet?,rabbit,rabbit_1.wav,nomask,yes,yes,341.550954836,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,19,is-it-an-animal:mouse,nonvisual,Is it an animal?,mouse,mouse_4.wav,nomask,yes,yes,244.408061102,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,20,does-it-have-warts:tiger,visual,Does it have warts?,tiger,tiger_4.wav,nomask,no,yes,383.045254057,0
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,21,is-it-a-mammal:giraffe,nonvisual,Is it a mammal?,giraffe,giraffe_4.wav,nomask,yes,yes,300.344414776,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,22,is-it-flat:table,visual,Is it flat?,table,table_2.wav,nomask,yes,yes,450.846953085,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,23,is-it-used-by-riding:camel,nonvisual,Is it used by riding?,camel,camel_4.wav,mask,yes,yes,224.050458681,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,24,is-it-red:penguin,visual,Is it red?,penguin,penguin_2.wav,nomask,no,no,341.083306121,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,25,does-it-lay-eggs:swan,nonvisual,Does it lay eggs?,swan,swan_4.wav,nomask,yes,yes,477.305434455,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,26,does-it-have-four-legs:dog,visual,Does it have four legs?,dog,dog_3.wav,nomask,yes,yes,68.2360585633,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,27,is-it-furniture:table,nonvisual,Is it furniture?,table,table_1.wav,nomask,yes,yes,480.167662143,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,28,is-it-breakable:bottle,nonvisual,Is it breakable?,bottle,bottle_4.wav,nomask,yes,yes,593.09217897,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,29,is-it-furniture:chair,nonvisual,Is it furniture?,chair,chair_3.wav,mask,yes,yes,217.548829445,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,30,is-it-healthy:banana,nonvisual,Is it healthy?,banana,banana_4.wav,nomask,yes,yes,147.953036678,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,31,is-it-an-animal:bottle,nonvisual,Is it an animal?,bottle,bottle_2.wav,nomask,no,no,106.166497018,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,32,does-it-have-a-pointed-end:donkey,visual,Does it have a pointed end?,donkey,donkey_1.wav,nomask,no,yes,507.871606271,0
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,33,does-it-grow-underground:tiger,nonvisual,Does it grow underground?,tiger,tiger_2.wav,mask,no,no,67.4620855571,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,34,does-it-have-green-leaves:strawberry,visual,Does it have green leaves?,strawberry,strawberry_1.wav,nomask,yes,no,539.280249926,0
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,35,does-it-have-eyes:raccoon,visual,Does it have eyes?,raccoon,raccoon_2.wav,mask,yes,yes,232.158930143,1
MWPR127,127,2016_Jan_28_1426,LL-Kramer,1,test,36,does-it-have-a-peel:banana,visual,Does it have a peel?,banana,banana_4.wav,nomask,yes,yes,74.8333941447,1
