subj_id,proposition_id,measure,value,question,cue,question_slug,correct_response,feat_type
R_022gRHtStX72vPL,does-it-fly:bottle,difficulty,-2.0,Does it fly?,bottle,does-it-fly,no,nonvisual
R_022gRHtStX72vPL,does-it-fly:bottle,senses,1.0,Does it fly?,bottle,does-it-fly,no,nonvisual
R_022gRHtStX72vPL,does-it-fly:bottle,truth,-2.0,Does it fly?,bottle,does-it-fly,no,nonvisual
R_022gRHtStX72vPL,does-it-have-a-pointed-end:donkey,difficulty,-1.0,Does it have a pointed end?,donkey,does-it-have-a-pointed-end,no,visual
R_022gRHtStX72vPL,does-it-have-a-pointed-end:donkey,senses,1.0,Does it have a pointed end?,donkey,does-it-have-a-pointed-end,no,visual
R_022gRHtStX72vPL,does-it-have-a-pointed-end:donkey,truth,-2.0,Does it have a pointed end?,donkey,does-it-have-a-pointed-end,no,visual
R_022gRHtStX72vPL,does-it-have-a-seat:chair,difficulty,-1.0,Does it have a seat?,chair,does-it-have-a-seat,yes,visual
R_022gRHtStX72vPL,does-it-have-a-seat:chair,senses,1.0,Does it have a seat?,chair,does-it-have-a-seat,yes,visual
R_022gRHtStX72vPL,does-it-have-a-seat:chair,truth,1.0,Does it have a seat?,chair,does-it-have-a-seat,yes,visual
R_022gRHtStX72vPL,does-it-have-an-engine:train,difficulty,0.0,Does it have an engine?,train,does-it-have-an-engine,yes,visual
R_022gRHtStX72vPL,does-it-have-an-engine:train,senses,5.0,Does it have an engine?,train,does-it-have-an-engine,yes,visual
R_022gRHtStX72vPL,does-it-have-an-engine:train,truth,1.0,Does it have an engine?,train,does-it-have-an-engine,yes,visual
R_022gRHtStX72vPL,does-it-have-feet:penguin,difficulty,0.0,Does it have feet?,penguin,does-it-have-feet,yes,visual
R_022gRHtStX72vPL,does-it-have-feet:penguin,senses,1.0,Does it have feet?,penguin,does-it-have-feet,yes,visual
R_022gRHtStX72vPL,does-it-have-feet:penguin,truth,-2.0,Does it have feet?,penguin,does-it-have-feet,yes,visual
R_022gRHtStX72vPL,does-it-have-hooves:zebra,difficulty,-2.0,Does it have hooves?,zebra,does-it-have-hooves,yes,visual
R_022gRHtStX72vPL,does-it-have-hooves:zebra,senses,1.0,Does it have hooves?,zebra,does-it-have-hooves,yes,visual
R_022gRHtStX72vPL,does-it-have-hooves:zebra,truth,2.0,Does it have hooves?,zebra,does-it-have-hooves,yes,visual
R_022gRHtStX72vPL,does-it-have-seeds:camel,difficulty,-2.0,Does it have seeds?,camel,does-it-have-seeds,no,visual
R_022gRHtStX72vPL,does-it-have-seeds:camel,senses,1.0,Does it have seeds?,camel,does-it-have-seeds,no,visual
