subj_id,proposition_id,measure,value,question,cue,question_slug,correct_response,feat_type
R_008XYlIsTwpmJ3D,does-it-grow-on-trees:swan,difficulty,-2.0,Does it grow on trees?,swan,does-it-grow-on-trees,no,nonvisual
R_008XYlIsTwpmJ3D,does-it-grow-on-trees:swan,facts,0.0,Does it grow on trees?,swan,does-it-grow-on-trees,no,nonvisual
R_008XYlIsTwpmJ3D,does-it-grow-on-trees:swan,imagery,1.0,Does it grow on trees?,swan,does-it-grow-on-trees,no,nonvisual
R_008XYlIsTwpmJ3D,does-it-grow-on-trees:swan,truth,-2.0,Does it grow on trees?,swan,does-it-grow-on-trees,no,nonvisual
R_008XYlIsTwpmJ3D,does-it-have-a-hump:swan,difficulty,-2.0,Does it have a hump?,swan,does-it-have-a-hump,no,visual
R_008XYlIsTwpmJ3D,does-it-have-a-hump:swan,facts,0.0,Does it have a hump?,swan,does-it-have-a-hump,no,visual
R_008XYlIsTwpmJ3D,does-it-have-a-hump:swan,imagery,2.0,Does it have a hump?,swan,does-it-have-a-hump,no,visual
R_008XYlIsTwpmJ3D,does-it-have-a-hump:swan,truth,-2.0,Does it have a hump?,swan,does-it-have-a-hump,no,visual
R_008XYlIsTwpmJ3D,does-it-have-a-lid:bottle,difficulty,-2.0,Does it have a lid?,bottle,does-it-have-a-lid,yes,visual
R_008XYlIsTwpmJ3D,does-it-have-a-lid:bottle,facts,0.0,Does it have a lid?,bottle,does-it-have-a-lid,yes,visual
R_008XYlIsTwpmJ3D,does-it-have-a-lid:bottle,imagery,2.0,Does it have a lid?,bottle,does-it-have-a-lid,yes,visual
R_008XYlIsTwpmJ3D,does-it-have-a-lid:bottle,truth,1.0,Does it have a lid?,bottle,does-it-have-a-lid,yes,visual
R_008XYlIsTwpmJ3D,does-it-have-a-mane:strawberry,difficulty,-2.0,Does it have a mane?,strawberry,does-it-have-a-mane,no,visual
R_008XYlIsTwpmJ3D,does-it-have-a-mane:strawberry,facts,0.0,Does it have a mane?,strawberry,does-it-have-a-mane,no,visual
R_008XYlIsTwpmJ3D,does-it-have-a-mane:strawberry,imagery,0.0,Does it have a mane?,strawberry,does-it-have-a-mane,no,visual
R_008XYlIsTwpmJ3D,does-it-have-a-mane:strawberry,truth,-2.0,Does it have a mane?,strawberry,does-it-have-a-mane,no,visual
R_008XYlIsTwpmJ3D,does-it-have-an-engine:train,difficulty,-2.0,Does it have an engine?,train,does-it-have-an-engine,yes,visual
R_008XYlIsTwpmJ3D,does-it-have-an-engine:train,facts,1.0,Does it have an engine?,train,does-it-have-an-engine,yes,visual
R_008XYlIsTwpmJ3D,does-it-have-an-engine:train,imagery,1.0,Does it have an engine?,train,does-it-have-an-engine,yes,visual
R_008XYlIsTwpmJ3D,does-it-have-an-engine:train,truth,2.0,Does it have an engine?,train,does-it-have-an-engine,yes,visual
R_008XYlIsTwpmJ3D,does-it-have-hair:jacket,difficulty,-2.0,Does it have hair?,jacket,does-it-have-hair,no,visual
R_008XYlIsTwpmJ3D,does-it-have-hair:jacket,facts,0.0,Does it have hair?,jacket,does-it-have-hair,no,visual
R_008XYlIsTwpmJ3D,does-it-have-hair:jacket,imagery,0.0,Does it have hair?,jacket,does-it-have-hair,no,visual
R_008XYlIsTwpmJ3D,does-it-have-hair:jacket,truth,-2.0,Does it have hair?,jacket,does-it-have-hair,no,visual
R_008XYlIsTwpmJ3D,does-it-have-large-teeth:deer,difficulty,-2.0,Does it have large teeth?,deer,does-it-have-large-teeth,no,visual
R_008XYlIsTwpmJ3D,does-it-have-large-teeth:deer,facts,1.0,Does it have large teeth?,deer,does-it-have-large-teeth,no,visual
R_008XYlIsTwpmJ3D,does-it-have-large-teeth:deer,imagery,3.0,Does it have large teeth?,deer,does-it-have-large-teeth,no,visual
R_008XYlIsTwpmJ3D,does-it-have-large-teeth:deer,truth,1.0,Does it have large teeth?,deer,does-it-have-large-teeth,no,visual
R_008XYlIsTwpmJ3D,does-it-have-scales:elephant,difficulty,-2.0,Does it have scales?,elephant,does-it-have-scales,no,visual
R_008XYlIsTwpmJ3D,does-it-have-scales:elephant,facts,0.0,Does it have scales?,elephant,does-it-have-scales,no,visual
