V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,Unnamed: 120
ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,subj_id,computer,subj_id_manual,computer_manual,instructions,summary,strategy,mask,hypothesis,imagery-text,imagery-Does a jacket have sleeves?,imagery-Does a jacket have pockets?,imagery-Does a jacket have a zipper?,imagery-Does a lion have a tail?,imagery-Does a giraffe have long legs?,imagery-Is a giraffe tall?,imagery-Does a grasshopper have legs?,imagery-Is a grasshopper green?,imagery-Does a mouse have a tail?,imagery-Is a mouse grey?,imagery-Is a banana yellow?,imagery-Is a camel large?,imagery-Is a bottle used for holding things?,imagery-Is a bottle used for holding liquids?,imagery-Does a bike have different speeds?,imagery-Does a banana grow in tropical climates?,imagery-Is a bottle a container?,imagery-Is a bottle breakable?,imagery-Is an alligator an animal?,imagery-Does a zebra have stripes?,imagery-Does an apple grow on trees?,imagery-Is an apple used for cider?,imagery-Does a rabbit eat carrots?,imagery-Does a raccoon produce offspring?,imagery-Does a mouse eat?,imagery-Does a pig like mud?,imagery-Is a lion a carnivore?,imagery-Is a mouse an animal?,imagery-Is a pineapple juicy?,imagery-Is a pineapple tropical?,imagery-Is a pig smelly?,imagery-Does a pig live on farms?,imagery-Is an apple round?,imagery-Is a camel beige?,imagery-Is a zebra an animal?,imagery-Is a strawberry red?,imagery-Does a rabbit have whiskers?,imagery-Is a pig pink?,imagery-Does a pig have legs?,imagery-Is a penguin black?,imagery-Does a penguin have feet?,imagery-Does a rabbit have feet?,imagery-Does a rabbit have ears?,imagery-Does a pineapple have an inside?,imagery-Does a pig have a snout?,imagery-Does a camel eat?,imagery-Does a camel spit?,imagery-Does a camel drink water?,imagery-Is a chair used for relaxing?,imagery-Is a chair used for sitting on?,imagery-Is a chair found at tables?,imagery-Does a chicken live in a coop?,imagery-Is a deer fast?,imagery-Does a dog bark?,imagery-Does a donkey make noises?,imagery-Is an alligator long?,imagery-Does a banana have a skin?,imagery-Does a zebra live in Africa?,imagery-Is a train loud?,imagery-Does a strawberry taste good?,imagery-Is a raccoon furry?,imagery-Does a swan live on water?,imagery-Is a strawberry a fruit?,imagery-Is a table used for eating on?,imagery-Does a swan lay eggs?,imagery-Does a tiger live in India?,imagery-Is a table found in kitchens?,imagery-Does a camel have a hump?,imagery-Is a camel brown?,imagery-Does a dog have hair?,imagery-Does a deer have four legs?,imagery-Does a donkey have a tail?,imagery-Does a donkey have hooves?,imagery-Does a donkey have legs?,imagery-Does a donkey have four legs?,imagery-Does an elephant have ears?,imagery-Does an elephant have four legs?,imagery-Does a zebra have hooves?,imagery-Does a zebra have four legs?,imagery-Is a toad small?,imagery-Does a train have an engine?,imagery-Is a table made of wood?,imagery-Does a tiger have whiskers?,imagery-Does a swan have feathers?,imagery-Is a table flat?,imagery-Does a swan have wings?,imagery-Does a swan have a long neck?,imagery-Does an alligator have jaws?,imagery-Does a banana have a peel?,imagery-Does a camel have legs?,imagery-Is a jacket clothing?,imagery-Is a jacket worn for the rain?,imagery-Does a giraffe eat leaves?,imagery-Does a giraffe live in zoos?,imagery-Does an elephant eat peanuts?,imagery-Does an elephant live in Africa?,imagery-Is an elephant an animal?,imagery-Is a donkey furry?,imagery-Is a lion an animal?,imagery-Does a lion roar?,
Default Response Set,Anonymous,,,128.104.131.0,0,2016-02-18 14:34:49,2016-02-18 14:42:04,1,PV_103,LL-ELAINE,,,1,"Questions were asked on a computer screen and then a word was said in headphones that the subject wore. Upon hearing the word, while still looking at the screen, the subject was supposed to accurately answer the question with yes/up or no/down. ",I guess I moved closer to engage more with the screen and I know I looked down when there was a pattern even though I know that was discouraged. I don't know if it worked. I know I was pretty tired so by moving closer I felt more engaged. I also thought about what possible answers could be where permitted. This worked some of the time. ,"Yes, I think they slowed down my performance. I definitely think that they were distracting and another sensory/other stimuli I had to block in order to remember the question and think about the correct answer. ","I think they are going to look at question accuracy and speed and distract-ability. Mostly, I think they are studying the relationship between distract-ability with moving visuals with respect to written and auditory learning",1,3,2,3,3,3,4,3,2,3,3,4,2,2,3,1,3,3,3,3,2,3,1,3,1,2,1,2,3,2,3,2,1,1,2,1,3,2,3,3,4,3,4,3,3,3,2,1,2,4,1,4,3,1,1,2,2,2,1,2,2,2,3,2,2,2,4,4,3,4,3,3,3,1,3,3,3,2,1,2,2,1,1,3,2,1,3,3,3,3,2,1,1,1,3,3,1,2,3,1,4,
Default Response Set,Anonymous,,,128.104.131.70,0,2016-02-18 14:34:01,2016-02-18 14:42:09,1,PV_102,LL-George,,,1,"I saw a question on the screen then heard the name of an object. I would press the up arrow if the answer to the question was yes, and pressed the down arrow if the answer to the question was no.","Sometimes I would guess what object I expected to hear. In some instances this helped me respond more quickly, but in some cases it was confusing and slowed my reaction time.","Yes, but I couldn't tell if this had any effect on my performance.",I think they hope to find the time it takes for the brain to make connections between objects and certain traits these objects possess.,1,2,2,2,2,4,2,1,3,3,2,3,1,2,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,3,3,2,3,2,2,3,3,2,2,2,2,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,2,3,1,3,2,1,2,2,3,2,2,2,3,2,4,4,2,4,2,2,1,1,3,2,2,3,3,3,2,2,1,2,1,1,1,1,1,2,1,1,
Default Response Set,Anonymous,,,128.104.131.186,0,2016-02-18 14:36:05,2016-02-18 14:44:39,1,PV101,LL-Kramer,,,1, A question about an object that I had to read showed up on the computer screen and then I heard a word. I had to then answer the question yes or no based on the object I heard.,"Sometimes when I thought the question was referring to one object in particular (ex: does it have a long neck I would think the yes answer was giraffe) so as soon as I did not hear the word I thought they were getting at, I would click no. I think it worked in most cases but in some I answered too quickly and then answered the question wrong.","Yes, I think I answered the questions faster when the flashing patterns were present because they helped me focus.",That our brains respond faster to certain words than others.,1,4,4,5,5,5,5,4,5,4,3,5,3,2,3,5,2,2,3,5,4,3,1,4,1,2,3,3,2,5,4,3,4,4,3,4,5,3,3,4,4,4,2,4,3,4,3,2,4,4,5,5,3,3,4,4,3,5,2,2,4,4,5,5,5,2,1,5,5,4,5,3,5,3,4,5,5,5,3,5,5,3,4,5,5,5,4,5,4,5,3,4,3,5,5,5,3,5,5,4,5,
Default Response Set,Anonymous,,,128.104.131.186,0,2016-02-19 12:40:39,2016-02-19 12:43:12,1,PV104,LL-Kramer,,,1,Looking at questions on a screen and then listening to a word to see if the answer matched the question,Think and look at the questions?,"Yes, annoying.",I am not sure,1,3,4,3,4,3,3,3,3,3,4,3,3,2,3,3,3,4,3,3,4,3,4,3,3,4,5,3,3,3,3,3,4,3,4,2,2,2,3,1,3,3,3,3,3,3,3,3,3,4,5,3,3,3,4,4,4,4,5,3,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,1,4,3,1,3,3,3,5,3,3,3,1,3,4,3,3,3,3,3,
Default Response Set,Anonymous,,,128.104.131.0,0,2016-02-19 12:40:30,2016-02-19 12:45:07,1,PV106,LL-ELAINE,,,1,We had to answer yes or no questions,I tried to anticipate what she was going to say but sometimes I acted too soon and got it wrong,I don't think it had a big effect on my performance but it made me squint my eyes every time,accuracy and speed  ,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Default Response Set,Anonymous,,,128.104.131.70,0,2016-02-19 12:41:45,2016-02-19 12:50:10,1,PV105,LL-George,,,1,"I saw questions on the screen and heard a noun and I was supposed to answer ""yes"" or ""no"" if the noun related to the question. ","As the experiment went on, I could feel myself anticipating what the right noun was for the question would be and if I started to hear the sound of that noun, I would click yes right away.","I did look at the pattern when present. I don't think it had much of an effect, maybe slowed down my thought process a little bit.",I think the experimenters hope to find a delay in reaction time when the pattern is present. ,1,2,1,1,2,1,3,1,3,3,2,2,1,1,1,1,2,2,1,2,3,3,1,3,1,1,3,2,1,1,2,1,4,2,2,1,2,3,3,1,2,2,1,1,1,3,1,1,1,1,1,1,1,3,1,2,3,3,3,1,1,2,2,1,1,1,2,1,1,2,3,1,2,2,1,1,1,1,3,1,3,1,2,2,3,1,1,3,3,3,1,1,3,3,3,3,2,1,2,1,1,
Default Response Set,Anonymous,,,128.104.131.186,0,2016-02-23 10:37:41,2016-02-23 10:52:35,1,PV105test,LL-Kramer,,,1,"I saw the question about a certain feature of something and heard a thing, and I made judgement about if the question is true for the thing.","At later part of the experiment, since the objects and questions appear to be mentioned repeatedly, I will have nominees that fit the question and that helped bring up the speed. However sometimes I only nominated the most typical example and negated all others despite that the thing I heard also shares the feature.",Yes. An interference.,To see if certain features/categories are more indicative for some examples but not others; if visual interference slow down the formation of these categories.,1,2,2,2,2,2,2,3,3,3,2,4,2,3,2,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,3,3,1,4,3,3,2,4,3,2,3,2,2,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,3,3,1,1,3,1,1,4,3,3,2,2,3,2,2,2,3,3,3,2,1,2,3,2,3,3,3,2,3,1,1,1,2,1,1,1,1,2,1,1,
Default Response Set,Anonymous,,,72.33.2.180,0,2016-02-17 11:18:58,2016-02-17 11:19:39,0,TEST_SUBJ,TEST_COMPUTER,,,1,,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Response Set,Anonymous,,,128.104.131.70,0,2016-02-24 11:28:33,2016-02-24 11:32:57,1,PV109,LL-George,,,1,"I saw a question appear on the screen, and was given an option in which I needed to respond ""yes"" or ""no"" to.","I would read the question and the first syllable i would hear, I would then base my answer on that.",The flashing patterns made my eyes tired and slower.,The reaction time of an individual based off a flashing pattern and no pattern.,1,5,4,5,4,4,4,3,4,4,4,3,5,5,4,2,4,4,5,4,3,4,5,4,3,4,5,4,5,5,4,4,4,4,4,3,4,3,4,4,4,3,3,5,4,4,4,4,4,5,3,3,5,4,4,2,5,4,5,3,4,5,4,2,4,5,4,5,4,5,4,4,4,2,4,3,4,4,3,5,3,4,5,3,4,4,3,4,4,4,3,4,3,4,4,4,4,5,5,4,4,
