block_ix,trial_ix,cue,cue_file,cue_mask,ftype,response,qtype,qid,question
-1,-18,donkey,donkey_2.wav,nomask,nonvisual,no,nonvisual-no,1,Does it lay eggs?
-1,-17,apple,apple_4.wav,nomask,nonvisual,yes,nonvisual-yes,2,Does it grow on trees?
-1,-16,alligator,alligator_2.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it a reptile?
-1,-15,chicken,chicken_2.wav,mask,visual,yes,visual-yes,3,Does it have a beak?
-1,-14,grasshopper,grasshopper_1.wav,mask,visual,yes,visual-yes,1,Is it green?
-1,-13,chair,chair_3.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it used for sitting on?
-1,-12,table,table_4.wav,nomask,visual,yes,visual-yes,4,Is it flat?
-1,-11,dog,dog_3.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it an animal?
-1,-10,rabbit,rabbit_3.wav,nomask,nonvisual,yes,nonvisual-yes,4,Is it hunted by people?
-1,-9,strawberry,strawberry_4.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it a fruit?
-1,-8,bottle,bottle_1.wav,mask,visual,yes,visual-yes,5,Does it have a cork?
-1,-7,pig,pig_1.wav,nomask,nonvisual,yes,nonvisual-yes,2,Does it live on farms?
-1,-6,raccoon,raccoon_2.wav,nomask,visual,yes,visual-yes,2,Does it have a tail?
-1,-5,camel,camel_3.wav,nomask,nonvisual,yes,nonvisual-yes,4,Is it a mammal?
-1,-4,tiger,tiger_3.wav,nomask,visual,no,visual-no,5,Does it have warts?
-1,-3,mouse,mouse_2.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it an animal?
-1,-2,swan,swan_3.wav,mask,nonvisual,yes,nonvisual-yes,3,Does it live on water?
-1,-1,giraffe,giraffe_2.wav,mask,visual,no,visual-no,1,Is it green?
0,0,apple,apple_4.wav,mask,visual,yes,visual-yes,3,Does it have seeds?
0,1,alligator,alligator_4.wav,nomask,visual,yes,visual-yes,2,Is it long?
0,2,giraffe,giraffe_1.wav,nomask,nonvisual,yes,nonvisual-yes,3,Does it live in zoos?
0,3,chair,chair_1.wav,nomask,nonvisual,yes,nonvisual-yes,5,Is it found at tables?
0,4,mouse,mouse_2.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it an animal?
0,5,chair,chair_2.wav,nomask,visual,yes,visual-yes,1,Does it have legs?
0,6,pig,pig_3.wav,nomask,visual,yes,visual-yes,1,Is it pink?
0,7,dog,dog_4.wav,nomask,nonvisual,yes,nonvisual-yes,3,Is it a pet?
0,8,tiger,tiger_3.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it an animal?
0,9,rabbit,rabbit_3.wav,nomask,visual,yes,visual-yes,4,Does it have a tail?
0,10,mouse,mouse_3.wav,mask,visual,yes,visual-yes,3,Does it have fur?
0,11,alligator,alligator_2.wav,nomask,visual,yes,visual-yes,1,Is it green?
0,12,camel,camel_4.wav,nomask,nonvisual,yes,nonvisual-yes,1,Does it live in the desert?
0,13,strawberry,strawberry_2.wav,mask,nonvisual,no,nonvisual-no,3,Is it furniture?
0,14,dog,dog_1.wav,mask,visual,yes,visual-yes,4,Does it have hair?
0,15,donkey,donkey_3.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it an animal?
0,16,swan,swan_4.wav,nomask,nonvisual,yes,nonvisual-yes,2,Is it a bird?
0,17,raccoon,raccoon_1.wav,nomask,nonvisual,yes,nonvisual-yes,3,Is it nocturnal?
0,18,strawberry,strawberry_3.wav,nomask,visual,yes,visual-yes,3,Does it have green leaves?
0,19,raccoon,raccoon_2.wav,nomask,visual,yes,visual-yes,2,Does it have a tail?
0,20,camel,camel_2.wav,nomask,nonvisual,no,nonvisual-no,1,Is it a bird?
0,21,table,table_3.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it found in kitchens?
0,22,chair,chair_3.wav,nomask,visual,yes,visual-yes,4,Does it have a seat?
0,23,apple,apple_1.wav,nomask,visual,yes,visual-yes,4,Is it round?
0,24,bottle,bottle_4.wav,nomask,visual,yes,visual-yes,4,Does it have a neck?
0,25,chicken,chicken_1.wav,nomask,nonvisual,yes,nonvisual-yes,3,Does it eat grain?
0,26,mouse,mouse_3.wav,mask,nonvisual,yes,nonvisual-yes,4,Is it used in experiments?
0,27,donkey,donkey_1.wav,mask,visual,yes,visual-yes,3,Does it have a tail?
0,28,strawberry,strawberry_1.wav,mask,visual,yes,visual-yes,1,Is it red?
0,29,rabbit,rabbit_2.wav,nomask,nonvisual,yes,nonvisual-yes,1,Does it hop?
0,30,table,table_4.wav,nomask,visual,no,visual-no,2,Does it have a nose?
0,31,bottle,bottle_3.wav,nomask,visual,no,visual-no,3,Does it have armrests?
0,32,donkey,donkey_3.wav,mask,nonvisual,yes,nonvisual-yes,5,Does it make noises?
0,33,chicken,chicken_3.wav,nomask,visual,yes,visual-yes,1,Does it have feathers?
0,34,swan,swan_1.wav,nomask,visual,no,visual-no,1,Does it have a hump?
0,35,table,table_3.wav,mask,visual,yes,visual-yes,2,Is it round?
0,36,giraffe,giraffe_2.wav,nomask,visual,yes,visual-yes,3,Does it have long legs?
0,37,rabbit,rabbit_2.wav,nomask,visual,yes,visual-yes,2,Does it have feet?
0,38,grasshopper,grasshopper_4.wav,mask,nonvisual,yes,nonvisual-yes,3,Is it found in summer?
0,39,apple,apple_3.wav,mask,nonvisual,yes,nonvisual-yes,4,Is it nutritious?
0,40,grasshopper,grasshopper_2.wav,mask,visual,yes,visual-yes,4,Does it have antennae?
0,41,tiger,tiger_3.wav,nomask,visual,no,visual-no,5,Does it have warts?
0,42,camel,camel_2.wav,nomask,nonvisual,no,nonvisual-no,5,Does it live in a coop?
0,43,tiger,tiger_4.wav,mask,visual,yes,visual-yes,5,Does it have large teeth?
0,44,table,table_4.wav,nomask,visual,yes,visual-yes,4,Is it flat?
0,45,bottle,bottle_2.wav,nomask,nonvisual,no,nonvisual-no,2,Is it juicy?
0,46,raccoon,raccoon_2.wav,nomask,visual,no,visual-no,2,Does it have seeds?
0,47,donkey,donkey_4.wav,mask,visual,yes,visual-yes,2,Does it have four legs?
0,48,rabbit,rabbit_1.wav,mask,visual,no,visual-no,4,Is it flat?
0,49,alligator,alligator_2.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it a reptile?
0,50,camel,camel_3.wav,mask,nonvisual,yes,nonvisual-yes,5,Does it spit?
0,51,grasshopper,grasshopper_4.wav,nomask,nonvisual,no,nonvisual-no,2,Is it hunted by people?
0,52,bottle,bottle_1.wav,nomask,nonvisual,no,nonvisual-no,4,Does it fly?
0,53,camel,camel_2.wav,nomask,visual,no,visual-no,2,Does it have seeds?
0,54,mouse,mouse_2.wav,nomask,visual,yes,visual-yes,2,Is it grey?
0,55,chicken,chicken_4.wav,nomask,nonvisual,no,nonvisual-no,5,Is it comfortable?
0,56,pig,pig_2.wav,mask,visual,yes,visual-yes,3,Does it have a snout?
0,57,bottle,bottle_3.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it used for holding things?
0,58,table,table_4.wav,mask,nonvisual,no,nonvisual-no,2,Is it a mammal?
0,59,raccoon,raccoon_3.wav,nomask,nonvisual,yes,nonvisual-yes,2,Is it furry?
0,60,rabbit,rabbit_4.wav,mask,nonvisual,no,nonvisual-no,3,Does it roar?
0,61,dog,dog_2.wav,nomask,nonvisual,yes,nonvisual-yes,1,Does it bark?
0,62,giraffe,giraffe_2.wav,mask,visual,yes,visual-yes,2,Is it tall?
0,63,alligator,alligator_4.wav,mask,visual,no,visual-no,4,Is it small?
0,64,apple,apple_2.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it a fruit?
0,65,chicken,chicken_1.wav,nomask,visual,yes,visual-yes,2,Does it have wings?
0,66,pig,pig_4.wav,mask,visual,yes,visual-yes,2,Does it have a tail?
0,67,alligator,alligator_2.wav,mask,visual,yes,visual-yes,5,Does it have jaws?
0,68,tiger,tiger_1.wav,nomask,visual,yes,visual-yes,1,Does it have stripes?
0,69,chicken,chicken_4.wav,nomask,nonvisual,yes,nonvisual-yes,4,Is it eaten by frying?
1,70,donkey,donkey_2.wav,nomask,nonvisual,no,nonvisual-no,1,Does it lay eggs?
1,71,apple,apple_4.wav,nomask,nonvisual,yes,nonvisual-yes,2,Does it grow on trees?
1,72,dog,dog_3.wav,nomask,visual,yes,visual-yes,3,Does it have a tail?
1,73,strawberry,strawberry_1.wav,nomask,nonvisual,yes,nonvisual-yes,3,Is it used for making jam?
1,74,mouse,mouse_1.wav,nomask,visual,no,visual-no,2,Is it large?
1,75,apple,apple_1.wav,mask,visual,no,visual-no,1,Is it black?
1,76,pig,pig_4.wav,nomask,visual,yes,visual-yes,5,Is it muddy?
1,77,table,table_2.wav,mask,visual,no,visual-no,3,Does it have a tail?
1,78,alligator,alligator_1.wav,nomask,visual,yes,visual-yes,3,Does it have scales?
1,79,chair,chair_4.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it furniture?
1,80,bottle,bottle_1.wav,mask,visual,yes,visual-yes,5,Does it have a cork?
1,81,donkey,donkey_2.wav,nomask,nonvisual,yes,nonvisual-yes,4,Is it furry?
1,82,camel,camel_2.wav,mask,visual,yes,visual-yes,2,Is it brown?
1,83,alligator,alligator_4.wav,mask,nonvisual,no,nonvisual-no,3,Is it used for freight?
1,84,giraffe,giraffe_4.wav,mask,nonvisual,no,nonvisual-no,4,Is it an insect?
1,85,chicken,chicken_1.wav,mask,visual,yes,visual-yes,4,Does it have legs?
1,86,table,table_1.wav,nomask,nonvisual,no,nonvisual-no,1,Is it an animal?
1,87,raccoon,raccoon_4.wav,mask,visual,yes,visual-yes,3,Does it have eyes?
1,88,dog,dog_4.wav,nomask,visual,yes,visual-yes,2,Does it have legs?
1,89,grasshopper,grasshopper_1.wav,mask,visual,yes,visual-yes,1,Is it green?
1,90,rabbit,rabbit_2.wav,nomask,visual,no,visual-no,2,Is it made of metal?
1,91,pig,pig_1.wav,nomask,nonvisual,yes,nonvisual-yes,2,Does it live on farms?
1,92,apple,apple_3.wav,mask,visual,yes,visual-yes,1,Is it red?
1,93,chicken,chicken_3.wav,mask,nonvisual,yes,nonvisual-yes,1,Does it lay eggs?
1,94,raccoon,raccoon_3.wav,mask,visual,yes,visual-yes,4,Does it have stripes?
1,95,apple,apple_2.wav,mask,visual,yes,visual-yes,5,Does it have a core?
1,96,tiger,tiger_4.wav,nomask,visual,no,visual-no,4,Is it yellow inside?
1,97,table,table_1.wav,mask,nonvisual,yes,nonvisual-yes,4,Is it furniture?
1,98,giraffe,giraffe_3.wav,mask,visual,yes,visual-yes,4,Is it brown?
1,99,bottle,bottle_2.wav,nomask,nonvisual,yes,nonvisual-yes,5,Is it used for holding beer?
1,100,tiger,tiger_4.wav,nomask,visual,yes,visual-yes,4,Does it have whiskers?
1,101,bottle,bottle_1.wav,mask,nonvisual,no,nonvisual-no,5,Is it an amphibian?
1,102,giraffe,giraffe_3.wav,mask,visual,no,visual-no,4,Does it have antennae?
1,103,mouse,mouse_4.wav,nomask,nonvisual,yes,nonvisual-yes,5,Does it eat cheese?
1,104,bottle,bottle_3.wav,nomask,nonvisual,yes,nonvisual-yes,4,Is it breakable?
1,105,raccoon,raccoon_3.wav,nomask,visual,no,visual-no,1,Does it have a mane?
1,106,alligator,alligator_3.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it an animal?
1,107,camel,camel_1.wav,mask,visual,no,visual-no,3,Does it have whiskers?
1,108,dog,dog_3.wav,nomask,nonvisual,yes,nonvisual-yes,5,Does it chase cats?
1,109,swan,swan_3.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it graceful?
1,110,bottle,bottle_4.wav,nomask,visual,yes,visual-yes,1,Is it made of glass?
1,111,tiger,tiger_4.wav,nomask,nonvisual,yes,nonvisual-yes,4,Does it live in zoos?
1,112,grasshopper,grasshopper_3.wav,nomask,visual,yes,visual-yes,2,Does it have legs?
1,113,tiger,tiger_2.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it a carnivore?
1,114,camel,camel_4.wav,nomask,visual,yes,visual-yes,1,Does it have a hump?
1,115,swan,swan_2.wav,nomask,visual,yes,visual-yes,2,Does it have a beak?
1,116,strawberry,strawberry_4.wav,mask,nonvisual,yes,nonvisual-yes,4,Does it taste good?
1,117,donkey,donkey_1.wav,nomask,nonvisual,yes,nonvisual-yes,3,Is it a mammal?
1,118,pig,pig_3.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it an animal?
1,119,chicken,chicken_1.wav,nomask,nonvisual,yes,nonvisual-yes,2,Does it live on a farm?
1,120,rabbit,rabbit_1.wav,mask,nonvisual,yes,nonvisual-yes,5,Does it eat carrots?
1,121,chair,chair_2.wav,mask,nonvisual,yes,nonvisual-yes,4,Is it used for relaxing?
1,122,camel,camel_1.wav,nomask,visual,yes,visual-yes,3,Does it have legs?
1,123,grasshopper,grasshopper_2.wav,mask,nonvisual,yes,nonvisual-yes,4,Does it fly?
1,124,giraffe,giraffe_1.wav,nomask,nonvisual,yes,nonvisual-yes,4,Is it a mammal?
1,125,alligator,alligator_3.wav,nomask,nonvisual,no,nonvisual-no,2,Does it live in the desert?
1,126,chair,chair_4.wav,mask,visual,yes,visual-yes,3,Does it have armrests?
1,127,swan,swan_2.wav,mask,visual,yes,visual-yes,3,Does it have feathers?
1,128,chair,chair_1.wav,mask,visual,yes,visual-yes,2,Is it made of wood?
1,129,table,table_2.wav,mask,visual,no,visual-no,1,Does it have a neck?
1,130,mouse,mouse_4.wav,mask,visual,yes,visual-yes,1,Does it have a tail?
1,131,donkey,donkey_4.wav,mask,visual,yes,visual-yes,1,Does it have legs?
1,132,table,table_2.wav,mask,visual,yes,visual-yes,3,Does it have legs?
1,133,pig,pig_4.wav,mask,visual,no,visual-no,1,Is it made of glass?
1,134,strawberry,strawberry_4.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it a fruit?
1,135,rabbit,rabbit_3.wav,nomask,visual,yes,visual-yes,3,Does it have whiskers?
1,136,raccoon,raccoon_1.wav,mask,visual,yes,visual-yes,5,Does it have a mask?
1,137,chicken,chicken_2.wav,mask,nonvisual,no,nonvisual-no,2,Is it a mammal?
1,138,chair,chair_4.wav,mask,visual,no,visual-no,1,Is it long?
2,139,camel,camel_3.wav,nomask,nonvisual,yes,nonvisual-yes,4,Is it a mammal?
2,140,mouse,mouse_1.wav,nomask,nonvisual,no,nonvisual-no,5,Is it hunted by people?
2,141,camel,camel_3.wav,nomask,visual,yes,visual-yes,5,Is it beige?
2,142,swan,swan_1.wav,nomask,visual,yes,visual-yes,4,Does it have wings?
2,143,grasshopper,grasshopper_1.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it an insect?
2,144,chicken,chicken_2.wav,mask,visual,yes,visual-yes,3,Does it have a beak?
2,145,camel,camel_4.wav,nomask,visual,yes,visual-yes,4,Is it large?
2,146,dog,dog_1.wav,nomask,nonvisual,yes,nonvisual-yes,4,Is it used for protection?
2,147,chicken,chicken_3.wav,mask,visual,no,visual-no,1,Is it orange?
2,148,apple,apple_3.wav,nomask,nonvisual,yes,nonvisual-yes,5,Is it used for cider?
2,149,alligator,alligator_1.wav,mask,nonvisual,yes,nonvisual-yes,4,Does it live in water?
2,150,chair,chair_1.wav,nomask,visual,yes,visual-yes,5,Does it have a cushion?
2,151,donkey,donkey_1.wav,mask,visual,yes,visual-yes,4,Does it have hooves?
2,152,rabbit,rabbit_4.wav,nomask,nonvisual,no,nonvisual-no,4,Is it used for making jam?
2,153,chair,chair_3.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it used for sitting on?
2,154,table,table_4.wav,nomask,nonvisual,yes,nonvisual-yes,3,Is it found in dining rooms?
2,155,strawberry,strawberry_2.wav,mask,nonvisual,yes,nonvisual-yes,2,Does it taste sweet?
2,156,bottle,bottle_1.wav,nomask,visual,yes,visual-yes,2,Is it made of plastic?
2,157,table,table_3.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it used for eating on?
2,158,donkey,donkey_2.wav,nomask,visual,no,visual-no,3,Does it have stripes?
2,159,tiger,tiger_1.wav,mask,visual,yes,visual-yes,2,Does it have teeth?
2,160,mouse,mouse_4.wav,mask,visual,yes,visual-yes,4,Does it have whiskers?
2,161,giraffe,giraffe_3.wav,mask,nonvisual,yes,nonvisual-yes,2,Does it live in Africa?
2,162,chicken,chicken_4.wav,mask,nonvisual,yes,nonvisual-yes,5,Does it live in a coop?
2,163,giraffe,giraffe_4.wav,nomask,visual,yes,visual-yes,1,Does it have spots?
2,164,alligator,alligator_1.wav,nomask,nonvisual,no,nonvisual-no,1,Is it a mammal?
2,165,swan,swan_2.wav,nomask,nonvisual,yes,nonvisual-yes,4,Does it lay eggs?
2,166,alligator,alligator_1.wav,nomask,visual,no,visual-no,3,Is it round?
2,167,tiger,tiger_2.wav,mask,nonvisual,yes,nonvisual-yes,3,Does it live in Africa?
2,168,chair,chair_2.wav,mask,nonvisual,yes,nonvisual-yes,3,Is it comfortable?
2,169,grasshopper,grasshopper_3.wav,mask,nonvisual,yes,nonvisual-yes,2,Does it live in grass?
2,170,raccoon,raccoon_4.wav,mask,visual,no,visual-no,5,Does it have a beak?
2,171,camel,camel_3.wav,nomask,nonvisual,yes,nonvisual-yes,3,Is it used by riding?
2,172,donkey,donkey_3.wav,mask,nonvisual,no,nonvisual-no,5,Does it eat peanuts?
2,173,dog,dog_2.wav,mask,visual,yes,visual-yes,1,Does it have four legs?
2,174,grasshopper,grasshopper_3.wav,mask,visual,no,visual-no,1,Is it made of wood?
2,175,alligator,alligator_3.wav,nomask,visual,yes,visual-yes,4,Does it have a tail?
2,176,chicken,chicken_2.wav,nomask,visual,no,visual-no,4,Does it have four legs?
2,177,chair,chair_3.wav,mask,nonvisual,no,nonvisual-no,2,Is it nutritious?
2,178,raccoon,raccoon_4.wav,nomask,nonvisual,no,nonvisual-no,3,Is it used for holding beer?
2,179,pig,pig_2.wav,mask,nonvisual,yes,nonvisual-yes,3,Is it eaten as bacon?
2,180,grasshopper,grasshopper_1.wav,mask,visual,yes,visual-yes,3,Does it have long legs?
2,181,mouse,mouse_3.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it a rodent?
2,182,dog,dog_3.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it an animal?
2,183,giraffe,giraffe_2.wav,mask,visual,no,visual-no,1,Is it green?
2,184,rabbit,rabbit_1.wav,nomask,visual,yes,visual-yes,1,Does it have ears?
2,185,camel,camel_1.wav,mask,nonvisual,yes,nonvisual-yes,2,Does it drink water?
2,186,raccoon,raccoon_2.wav,nomask,visual,yes,visual-yes,1,Is it black?
2,187,table,table_1.wav,nomask,visual,yes,visual-yes,1,Is it made of wood?
2,188,pig,pig_1.wav,nomask,nonvisual,yes,nonvisual-yes,4,Is it smelly?
2,189,rabbit,rabbit_4.wav,mask,nonvisual,yes,nonvisual-yes,3,Is it edible?
2,190,strawberry,strawberry_3.wav,mask,visual,yes,visual-yes,4,Is it small?
2,191,giraffe,giraffe_1.wav,mask,nonvisual,yes,nonvisual-yes,1,Does it eat leaves?
2,192,dog,dog_1.wav,mask,visual,yes,visual-yes,5,Does it have a nose?
2,193,tiger,tiger_3.wav,nomask,nonvisual,yes,nonvisual-yes,5,Does it live in India?
2,194,bottle,bottle_2.wav,nomask,visual,yes,visual-yes,3,Does it have a lid?
2,195,raccoon,raccoon_1.wav,mask,nonvisual,no,nonvisual-no,2,Is it used for protection?
2,196,swan,swan_4.wav,mask,visual,yes,visual-yes,1,Does it have a long neck?
2,197,rabbit,rabbit_3.wav,nomask,nonvisual,yes,nonvisual-yes,4,Is it hunted by people?
2,198,bottle,bottle_4.wav,nomask,nonvisual,yes,nonvisual-yes,2,Is it used for holding liquids?
2,199,alligator,alligator_2.wav,nomask,nonvisual,yes,nonvisual-yes,3,Does it live in swamps?
2,200,tiger,tiger_2.wav,mask,nonvisual,no,nonvisual-no,1,Is it used for sitting on?
2,201,swan,swan_3.wav,mask,nonvisual,yes,nonvisual-yes,3,Does it live on water?
2,202,tiger,tiger_1.wav,mask,nonvisual,no,nonvisual-no,3,Does it grow underground?
2,203,bottle,bottle_2.wav,mask,nonvisual,yes,nonvisual-yes,3,Is it a container?
2,204,pig,pig_1.wav,mask,nonvisual,no,nonvisual-no,1,Is it tropical?
2,205,apple,apple_2.wav,mask,visual,yes,visual-yes,2,Is it green?
