"cue","ftype","qid","question","response","question_id","count","truth_mean","truth_std","truth_min","truth_max","imagery_mean","imagery_std","imagery_min","imagery_max","difficulty_mean","difficulty_std","difficulty_min","difficulty_max","facts_mean","facts_std","facts_min","facts_max"
"alligator","nonvisual",1,"Is it an animal?","yes","alligator:nonvisual:yes:1",5,2,0,2,2,1.2,0.836660026534076,0,2,-2,0,-2,-2,0.6,0.547722557505166,0,1
"alligator","nonvisual",2,"Is it a reptile?","yes","alligator:nonvisual:yes:2",7,2,0,2,2,1.57142857142857,1.39727626201154,0,4,-1.71428571428571,0.755928946018454,-2,0,2.42857142857143,1.13389341902768,1,4
"alligator","nonvisual",3,"Does it live in swamps?","yes","alligator:nonvisual:yes:3",3,1.33333333333333,0.577350269189626,1,2,1.33333333333333,0.577350269189626,1,2,-1.33333333333333,0.577350269189626,-2,-1,1.66666666666667,1.52752523165195,0,3
"alligator","nonvisual",4,"Does it live in water?","yes","alligator:nonvisual:yes:4",6,1.66666666666667,0.816496580927726,0,2,2.33333333333333,1.36626010212795,0,4,-1.16666666666667,1.16904519445001,-2,1,2.16666666666667,1.32916013582513,0,4
"alligator","nonvisual",5,"Does it eat people?","yes","alligator:nonvisual:yes:5",5,1.2,1.09544511501033,0,2,2.4,1.51657508881031,1,4,-1.2,1.09544511501033,-2,0,3,1.22474487139159,1,4
"alligator","visual",2,"Is it long?","yes","alligator:visual:yes:2",4,1.5,0.577350269189626,1,2,2.25,1.25830573921179,1,4,-1.75,0.5,-2,-1,1.5,1.73205080756888,0,4
"alligator","visual",3,"Does it have scales?","yes","alligator:visual:yes:3",5,0.8,1.78885438199983,-2,2,0.8,1.30384048104053,0,3,-1.6,0.894427190999916,-2,0,2.2,1.6431676725155,0,4
"alligator","visual",4,"Does it have a tail?","yes","alligator:visual:yes:4",6,1.33333333333333,1.63299316185545,-2,2,1.16666666666667,0.983192080250175,0,2,-1.83333333333333,0.408248290463863,-2,-1,0.5,0.836660026534076,0,2
"alligator","visual",5,"Does it have jaws?","yes","alligator:visual:yes:5",3,1.66666666666667,0.577350269189626,1,2,1.66666666666667,1.15470053837925,1,3,-1.33333333333333,1.15470053837925,-2,0,1.33333333333333,1.52752523165195,0,3
"alligator","nonvisual",1,"Is it a mammal?","no","alligator:nonvisual:no:1",6,-1.33333333333333,1.63299316185545,-2,2,2,1.78885438199983,0,4,-1.16666666666667,0.752772652709081,-2,0,1.66666666666667,1.03279555898864,0,3
