cue,ftype,qid,question,truth_coded,count,truth_mean,truth_std,truth_min,truth_max,imagery_mean,imagery_std,imagery_min,imagery_max,difficulty_mean,difficulty_std,difficulty_min,difficulty_max,facts_mean,facts_std,facts_min,facts_max,imagery_z,facts_z,difficulty_z,truth_normed,truth_agree
alligator,nonvisual,1,Is it an animal?,yes,5.0,2.0,0.0,2.0,2.0,1.2,0.8366600265340756,0.0,2.0,-2.0,0.0,-2.0,-2.0,0.6,0.5477225575051661,0.0,1.0,-0.35311785659489914,-0.6420095825737541,-1.2012238446408865,yes,1.0
alligator,nonvisual,2,Is it a reptile?,yes,7.0,2.0,0.0,2.0,2.0,1.5714285714285714,1.3972762620115438,0.0,4.0,-1.7142857142857142,0.7559289460184543,-2.0,0.0,2.4285714285714284,1.1338934190276817,1.0,4.0,0.22472262957733072,2.1546277753541996,-0.5573390098650141,yes,1.0
alligator,nonvisual,3,Does it live in swamps?,yes,3.0,1.3333333333333333,0.5773502691896258,1.0,2.0,1.3333333333333333,0.5773502691896258,1.0,2.0,-1.3333333333333333,0.5773502691896258,-2.0,-1.0,1.6666666666666667,1.5275252316519465,0.0,3.0,-0.14568793848179104,0.9893622095508858,0.30117410316948207,yes,1.0
alligator,nonvisual,4,Does it live in water?,yes,6.0,1.6666666666666667,0.8164965809277259,0.0,2.0,2.3333333333333335,1.3662601021279466,0.0,4.0,-1.1666666666666667,1.1690451944500122,-2.0,1.0,2.1666666666666665,1.3291601358251257,0.0,4.0,1.4100364473665203,1.7540677371093103,0.6767735901220738,yes,1.0
alligator,nonvisual,5,Does it eat people?,yes,5.0,1.2,1.0954451150103321,0.0,2.0,2.4,1.51657508881031,1.0,4.0,-1.2,1.0954451150103321,-2.0,0.0,3.0,1.224744871391589,1.0,4.0,1.5137514064230742,3.0285769497066855,0.6016536927315557,yes,1.0
alligator,visual,1,Is it green?,yes,4.0,0.0,1.4142135623730951,-2.0,1.0,1.0,0.816496580927726,0.0,2.0,-1.5,0.5773502691896257,-2.0,-1.0,0.75,0.9574271077563381,0.0,2.0,-0.6642627337645614,-0.4125979243062266,-0.07442538378311019,,
alligator,visual,2,Is it long?,yes,4.0,1.5,0.5773502691896257,1.0,2.0,2.25,1.2583057392117916,1.0,4.0,-1.75,0.5,-2.0,-1.0,1.5,1.7320508075688772,0.0,4.0,1.2803927485458275,0.7344603670314107,-0.6378246142119983,yes,1.0
alligator,visual,3,Does it have scales?,yes,5.0,0.8,1.7888543819998317,-2.0,2.0,0.8,1.3038404810405297,0.0,3.0,-1.6,0.8944271909999157,-2.0,0.0,2.2,1.6431676725154984,0.0,4.0,-0.9754076109342235,1.8050481056132057,-0.29978507595466564,yes,1.0
alligator,visual,4,Does it have a tail?,yes,6.0,1.3333333333333333,1.632993161855452,-2.0,2.0,1.1666666666666667,0.9831920802501751,0.0,2.0,-1.8333333333333333,0.40824829046386274,-2.0,-1.0,0.5,0.8366600265340756,0.0,2.0,-0.404975336123176,-0.794950688085439,-0.8256243576882942,yes,1.0
alligator,visual,5,Does it have jaws?,yes,3.0,1.6666666666666667,0.5773502691896255,1.0,2.0,1.6666666666666667,1.1547005383792515,1.0,3.0,-1.3333333333333333,1.1547005383792517,-2.0,0.0,1.3333333333333333,1.5275252316519468,0.0,3.0,0.37288685680097955,0.47955852451193565,0.30117410316948207,yes,1.0
alligator,nonvisual,1,Is it a mammal?,no,6.0,-1.3333333333333333,1.632993161855452,-2.0,2.0,2.0,1.7888543819998317,0.0,4.0,-1.1666666666666667,0.7527726527090811,-2.0,0.0,1.6666666666666667,1.0327955589886444,0.0,3.0,0.8914616520837498,0.9893622095508858,0.6767735901220738,no,1.0
alligator,nonvisual,2,Does it live in the desert?,no,4.0,-1.75,0.5,-2.0,-1.0,1.5,1.7320508075688772,0.0,4.0,-1.25,0.9574271077563381,-2.0,0.0,1.5,0.5773502691896257,1.0,2.0,0.11359945915959425,0.7344603670314107,0.4889738466457779,no,1.0
alligator,nonvisual,3,Is it used for freight?,no,5.0,-0.8,1.6431676725154984,-2.0,1.0,1.2,1.3038404810405297,0.0,3.0,-1.2,0.8366600265340756,-2.0,0.0,2.0,1.224744871391589,0.0,3.0,-0.35311785659489914,1.4991658945898356,0.6016536927315557,no,1.0
alligator,nonvisual,4,Is it found in summer?,no,7.0,0.8571428571428571,0.8997354108424372,0.0,2.0,1.8571428571428572,1.2149857925879117,0.0,4.0,-0.2857142857142857,1.3801311186847085,-2.0,1.0,2.4285714285714284,1.3972762620115438,0.0,4.0,0.6692153112482769,2.1546277753541996,2.662085164014347,yes,0.0
alligator,nonvisual,5,Is it a pet?,no,4.0,-1.5,0.5773502691896257,-2.0,-1.0,1.5,1.0,0.0,2.0,-0.75,1.2583057392117916,-2.0,1.0,1.0,1.1547005383792515,0.0,2.0,0.11359945915959425,-0.030245160527014165,1.6157723075035542,no,1.0
alligator,visual,1,Does it have a long tongue?,no,4.0,0.25,0.5,0.0,1.0,2.5,0.5773502691896257,2.0,3.0,0.5,0.5773502691896257,0.0,1.0,1.75,0.9574271077563381,1.0,3.0,1.6693238450079053,1.116813130810623,4.432768459647995,,
alligator,visual,2,Is it grey?,no,5.0,-1.2,1.0954451150103321,-2.0,0.0,1.8,1.4832396974191326,0.0,4.0,-1.6,0.547722557505166,-2.0,-1.0,0.2,0.4472135954999579,0.0,1.0,0.5803167749140876,-1.2537740046204942,-0.29978507595466564,no,1.0
alligator,visual,3,Is it round?,no,7.0,-2.0,0.0,-2.0,-2.0,1.8571428571428572,1.864454471471609,0.0,4.0,-2.0,0.0,-2.0,-2.0,0.8571428571428571,1.5735915849388864,0.0,4.0,0.6692153112482769,-0.24873245411513564,-1.2012238446408865,no,1.0
alligator,visual,4,Is it small?,no,8.0,-0.75,1.164964745021435,-2.0,1.0,1.375,1.407885953173359,0.0,4.0,-1.375,0.7440238091428449,-2.0,0.0,0.625,0.7440238091428449,0.0,2.0,-0.08086608907144464,-0.6037743061958328,0.20727423143133386,no,1.0
alligator,visual,5,Is it made of metal?,no,8.0,-2.0,0.0,-2.0,-2.0,1.0,1.4142135623730951,0.0,4.0,-1.875,0.3535533905932738,-2.0,-1.0,0.25,0.7071067811865476,0.0,2.0,-0.6642627337645614,-1.1773034518646515,-0.9195242294264424,no,1.0
apple,nonvisual,1,Is it a fruit?,yes,7.0,2.0,0.0,2.0,2.0,1.1428571428571428,1.9518001458970664,0.0,4.0,-1.8571428571428572,0.3779644730092273,-2.0,-1.0,1.0,1.5275252316519468,0.0,4.0,-0.4420163929290884,-0.030245160527014165,-0.8792814272529506,yes,1.0
apple,nonvisual,2,Does it grow on trees?,yes,6.0,2.0,0.0,2.0,2.0,2.0,1.4142135623730951,0.0,4.0,-1.8333333333333333,0.40824829046386274,-2.0,-1.0,0.8333333333333334,0.752772652709081,0.0,2.0,0.8914616520837498,-0.28514700304648904,-0.8256243576882942,yes,1.0
apple,nonvisual,3,Is it eaten in pies?,yes,6.0,2.0,0.0,2.0,2.0,2.3333333333333335,1.5055453054181622,0.0,4.0,-1.5,0.8366600265340756,-2.0,0.0,1.8333333333333333,1.602081978759722,0.0,4.0,1.4100364473665203,1.2442640520703605,-0.07442538378311019,yes,1.0
apple,nonvisual,4,Is it nutritious?,yes,8.0,1.875,0.3535533905932738,1.0,2.0,0.625,1.407885953173359,0.0,4.0,-1.75,0.4629100498862757,-2.0,-1.0,2.25,1.2817398889233114,0.0,4.0,-1.247659378457678,1.881518658369048,-0.6378246142119983,yes,1.0
apple,nonvisual,5,Is it used for cider?,yes,5.0,1.8,0.44721359549995815,1.0,2.0,0.6,0.8944271909999159,0.0,2.0,-1.8,0.44721359549995815,-2.0,-1.0,0.6,0.5477225575051661,0.0,1.0,-1.286552488103886,-0.6420095825737541,-0.7505044602977761,yes,1.0
apple,visual,1,Is it red?,yes,8.0,0.25,0.7071067811865476,-1.0,1.0,2.625,1.0606601717798212,1.0,4.0,-1.375,0.9161253813129043,-2.0,0.0,0.625,0.7440238091428449,0.0,2.0,1.8637893932389442,-0.6037743061958328,0.20727423143133386,,
apple,visual,2,Is it green?,yes,3.0,0.0,0.0,0.0,0.0,2.3333333333333335,1.1547005383792517,1.0,3.0,-1.0,1.0,-2.0,0.0,1.0,0.0,1.0,1.0,1.4100364473665203,-0.030245160527014165,1.052373077074666,,
apple,visual,3,Does it have seeds?,yes,6.0,1.5,0.8366600265340756,0.0,2.0,1.0,1.0954451150103321,0.0,3.0,-1.6666666666666667,0.8164965809277259,-2.0,0.0,1.5,1.224744871391589,0.0,3.0,-0.6642627337645614,0.7344603670314107,-0.4500248707357024,yes,1.0
apple,visual,4,Is it round?,yes,6.0,0.8333333333333334,1.1690451944500122,-1.0,2.0,3.0,1.0954451150103321,2.0,4.0,-1.5,0.5477225575051661,-2.0,-1.0,1.5,1.9748417658131499,0.0,4.0,2.447186037932061,0.7344603670314107,-0.07442538378311019,yes,1.0
apple,visual,5,Does it have a core?,yes,4.0,2.0,0.0,2.0,2.0,0.75,0.5,0.0,1.0,-2.0,0.0,-2.0,-2.0,1.25,1.5,0.0,3.0,-1.053193830226639,0.35210760325219825,-1.2012238446408865,yes,1.0
apple,nonvisual,1,Is it an animal?,no,5.0,-1.8,0.44721359549995815,-2.0,-1.0,1.6,2.1908902300206643,0.0,4.0,-1.4,1.3416407864998738,-2.0,1.0,1.0,1.7320508075688772,0.0,4.0,0.2691718977444255,-0.030245160527014165,0.15093430838844527,no,1.0
apple,nonvisual,2,Does it live in Africa?,no,5.0,-1.0,0.7071067811865476,-2.0,0.0,0.2,0.4472135954999579,0.0,1.0,-1.0,1.224744871391589,-2.0,1.0,1.0,1.4142135623730951,0.0,3.0,-1.9088422424432103,-0.030245160527014165,1.052373077074666,no,1.0
apple,nonvisual,3,Is it fast?,no,4.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.2199871196128727,-1.559656215643864,-1.2012238446408865,no,1.0
apple,nonvisual,4,Is it timid?,no,7.0,-1.7142857142857142,0.7559289460184543,-2.0,0.0,2.5714285714285716,1.511857892036909,0.0,4.0,-1.5714285714285714,0.7867957924694432,-2.0,0.0,2.142857142857143,1.6761634196950514,0.0,4.0,1.7804470154256422,1.7176531881779569,-0.23539659247707814,no,1.0
apple,nonvisual,5,Is it used in experiments?,no,5.0,-0.6,0.8944271909999159,-2.0,0.0,0.4,0.8944271909999159,0.0,2.0,-0.8,1.3038404810405297,-2.0,1.0,0.2,0.4472135954999579,0.0,1.0,-1.5976973652735478,-1.2537740046204942,1.5030924614177765,no,1.0
apple,visual,1,Is it black?,no,4.0,-2.0,0.0,-2.0,-2.0,1.5,1.7320508075688772,0.0,4.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.11359945915959425,-1.559656215643864,-1.2012238446408865,no,1.0
apple,visual,2,Does it have pockets?,no,7.0,-2.0,0.0,-2.0,-2.0,1.0,1.5275252316519468,0.0,4.0,-2.0,0.0,-2.0,-2.0,0.7142857142857143,1.2535663410560174,0.0,3.0,-0.6642627337645614,-0.4672197477032569,-1.2012238446408865,no,1.0
apple,visual,3,Does it have a beak?,no,7.0,-1.8571428571428572,0.3779644730092273,-2.0,-1.0,1.5714285714285714,1.618347187425374,0.0,4.0,-1.5714285714285714,0.7867957924694432,-2.0,0.0,1.0,1.0,0.0,2.0,0.22472262957733072,-0.030245160527014165,-0.23539659247707814,no,1.0
apple,visual,4,Does it have a hood?,no,5.0,-2.0,0.0,-2.0,-2.0,0.4,0.5477225575051661,0.0,1.0,-1.8,0.44721359549995815,-2.0,-1.0,0.0,0.0,0.0,0.0,-1.5976973652735478,-1.559656215643864,-0.7505044602977761,no,1.0
apple,visual,5,Does it have eyes?,no,5.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-1.8,0.44721359549995815,-2.0,-1.0,0.4,0.8944271909999159,0.0,2.0,-2.2199871196128727,-0.9478917935971239,-0.7505044602977761,no,1.0
banana,nonvisual,1,Is it a fruit?,yes,7.0,1.8571428571428572,0.3779644730092273,1.0,2.0,0.8571428571428571,1.4638501094227998,0.0,4.0,-1.5714285714285714,0.7867957924694432,-2.0,0.0,0.7142857142857143,1.1126972805283737,0.0,3.0,-0.8865090746000344,-0.4672197477032569,-0.23539659247707814,yes,1.0
banana,nonvisual,2,Does it taste good?,yes,7.0,1.0,1.0,0.0,2.0,0.5714285714285714,0.7867957924694432,0.0,2.0,-1.7142857142857142,0.7559289460184543,-2.0,0.0,1.4285714285714286,1.5118578920369088,0.0,3.0,-1.3310017562709804,0.6252167202373501,-0.5573390098650141,yes,1.0
banana,nonvisual,3,Does it grow in tropical climates?,yes,5.0,1.4,0.8944271909999157,0.0,2.0,0.2,0.4472135954999579,0.0,1.0,-1.6,0.547722557505166,-2.0,-1.0,1.0,1.4142135623730951,0.0,3.0,-1.9088422424432103,-0.030245160527014165,-0.29978507595466564,yes,1.0
banana,nonvisual,4,Is it healthy?,yes,6.0,1.0,1.5491933384829668,-2.0,2.0,1.0,0.8944271909999159,0.0,2.0,-1.6666666666666667,0.5163977794943221,-2.0,-1.0,1.3333333333333333,1.505545305418162,0.0,3.0,-0.6642627337645614,0.47955852451193565,-0.4500248707357024,yes,1.0
banana,visual,1,Is it yellow?,yes,4.0,1.5,0.5773502691896257,1.0,2.0,2.75,1.2583057392117916,1.0,4.0,-1.5,1.0,-2.0,0.0,2.25,1.5,1.0,4.0,2.058254941469983,1.881518658369048,-0.07442538378311019,yes,1.0
banana,visual,2,Is it long?,yes,8.0,0.5,0.5345224838248488,0.0,1.0,2.25,1.0350983390135313,1.0,4.0,-1.125,0.6408699444616557,-2.0,0.0,0.375,0.7440238091428449,0.0,2.0,1.2803927485458275,-0.9861270699750453,0.770673461860222,yes,1.0
