subj_id	seed	initials	date	exp_name	room	block_ix	trial_ix	cue	cue_file	cue_mask	ftype	response	qtype	qid	question	exp_timer	response	rt	is_correct
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	-1	-17	rabbit	rabbit_4.wav	mask	nonvisual	yes	nonvisual-yes	5	Does it eat carrots?	7.05573325214	yes	619.145452569	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	-1	-16	grasshopper	grasshopper_2.wav	mask	visual	yes	visual-yes	4	Does it have antennae?	14.2196280213	yes	719.071016298	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	-1	-15	penguin	penguin_1.wav	nomask	nonvisual	yes	nonvisual-yes	5	Does it waddle?	21.3181108699	yes	277.587733639	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	-1	-14	donkey	donkey_4.wav	mask	nonvisual	yes	nonvisual-yes	4	Is it furry?	28.2876730917	yes	513.080551464	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	-1	-13	lion	lion_2.wav	mask	nonvisual	no	nonvisual-no	3	Does it waddle?	35.2933764952	no	355.050224025	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	-1	-12	table	table_1.wav	mask	nonvisual	no	nonvisual-no	4	Does it grow in Hawaii?	42.430899603	no	440.498727112	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	-1	-11	strawberry	strawberry_4.wav	mask	nonvisual	no	nonvisual-no	4	Does it eat?	49.712971451	no	239.787039667	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	-1	-10	pineapple	pineapple_1.wav	mask	visual	yes	visual-yes	2	Does it have an inside?	56.9169089713	yes	74.0873169852	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	-1	-9	pig	pig_4.wav	nomask	visual	yes	visual-yes	1	Is it pink?	63.8073760952	yes	448.8602356	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	-1	-8	dog	dog_4.wav	mask	visual	yes	visual-yes	1	Does it have four legs?	70.8189400412	yes	242.725109361	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	-1	-7	giraffe	giraffe_3.wav	nomask	nonvisual	yes	nonvisual-yes	1	Does it eat leaves?	77.9525631393	yes	423.868901649	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	-1	-6	bottle	bottle_4.wav	nomask	visual	no	visual-no	3	Does it have armrests?	84.9504575551	no	506.453420385	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	-1	-5	chicken	chicken_3.wav	nomask	nonvisual	no	nonvisual-no	5	Is it comfortable?	92.0459968752	no	416.989880323	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	-1	-4	swan	swan_1.wav	mask	nonvisual	yes	nonvisual-yes	4	Does it lay eggs?	99.3661489919	yes	110.590737226	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	-1	-3	mouse	mouse_4.wav	mask	nonvisual	yes	nonvisual-yes	3	Does it eat?	106.442162918	no	590.197180165	0
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	-1	-2	deer	deer_4.wav	nomask	visual	yes	visual-yes	2	Does it have four legs?	113.494732335	yes	310.355691647	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	-1	-1	raccoon	raccoon_3.wav	nomask	nonvisual	yes	nonvisual-yes	2	Is it furry?	120.566840013	yes	485.91344725	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	0	chicken	chicken_2.wav	nomask	nonvisual	no	nonvisual-no	3	Is it used for making jam?	138.154338147	no	308.576862968	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	1	lion	lion_4.wav	mask	nonvisual	yes	nonvisual-yes	3	Is it a mammal?	145.121947634	yes	280.429882288	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	2	donkey	donkey_3.wav	mask	visual	yes	visual-yes	4	Does it have hooves?	152.172574845	yes	176.482262992	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	3	penguin	penguin_1.wav	mask	visual	no	visual-no	1	Is it red?	159.326703213	no	220.810267754	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	4	table	table_1.wav	nomask	visual	yes	visual-yes	2	Is it round?	166.451547585	yes	418.384244927	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	5	penguin	penguin_2.wav	mask	nonvisual	yes	nonvisual-yes	3	Does it live in the Arctic?	173.577370664	yes	48.3270549157	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	6	pig	pig_1.wav	nomask	nonvisual	yes	nonvisual-yes	2	Does it live on farms?	180.546937954	yes	259.395486792	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	7	giraffe	giraffe_1.wav	mask	nonvisual	no	nonvisual-no	3	Does it live in grass?	187.725524242	yes	678.620015766	0
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	8	rabbit	rabbit_2.wav	nomask	nonvisual	no	nonvisual-no	2	Does it make noises?	194.741923233	yes	392.557306011	0
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	9	penguin	penguin_3.wav	nomask	nonvisual	yes	nonvisual-yes	1	Is it a bird?	201.81013402	no	256.467555097	0
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	10	mouse	mouse_4.wav	mask	nonvisual	yes	nonvisual-yes	3	Does it eat?	208.910554396	yes	286.611721327	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	11	raccoon	raccoon_2.wav	nomask	nonvisual	no	nonvisual-no	2	Is it used for protection?	216.006104634	no	429.164055793	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	12	strawberry	strawberry_2.wav	mask	visual	yes	visual-yes	2	Does it have seeds?	223.244218904	yes	430.454700894	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	13	bottle	bottle_2.wav	nomask	nonvisual	yes	nonvisual-yes	3	Is it a container?	230.314373458	yes	541.899759381	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	14	raccoon	raccoon_1.wav	mask	nonvisual	yes	nonvisual-yes	1	Does it eat garbage?	237.406990695	yes	380.490749289	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	15	grasshopper	grasshopper_3.wav	nomask	nonvisual	yes	nonvisual-yes	3	Is it found in summer?	244.554292682	yes	313.149489841	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	16	pig	pig_4.wav	nomask	nonvisual	yes	nonvisual-yes	4	Is it smelly?	251.440856286	yes	440.123231238	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	17	dog	dog_2.wav	mask	nonvisual	yes	nonvisual-yes	4	Is it used for protection?	258.449491911	yes	554.032603017	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	18	table	table_2.wav	nomask	nonvisual	no	nonvisual-no	3	Is it healthy?	265.518666978	no	233.911680116	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	19	penguin	penguin_4.wav	nomask	visual	yes	visual-yes	1	Is it black?	272.581011374	yes	585.803138034	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	20	swan	swan_3.wav	nomask	visual	yes	visual-yes	4	Does it have wings?	279.908969359	yes	271.102924453	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	21	mouse	mouse_2.wav	mask	nonvisual	yes	nonvisual-yes	4	Is it used in experiments?	287.045525068	yes	332.341499219	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	22	bottle	bottle_1.wav	nomask	visual	yes	visual-yes	4	Does it have a neck?	294.180136231	yes	361.110797006	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	23	dog	dog_2.wav	mask	nonvisual	yes	nonvisual-yes	2	Is it an animal?	301.198528509	yes	307.074099808	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	24	chicken	chicken_3.wav	nomask	nonvisual	no	nonvisual-no	5	Is it comfortable?	308.274547114	no	154.338146676	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	25	pineapple	pineapple_1.wav	mask	nonvisual	yes	nonvisual-yes	3	Does it grow on trees?	315.487287146	yes	380.552357092	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	26	deer	deer_2.wav	nomask	visual	yes	visual-yes	4	Does it have hooves?	322.58478115	yes	138.683128695	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	27	swan	swan_2.wav	mask	visual	yes	visual-yes	3	Does it have feathers?	329.977190285	yes	93.6942044355	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	28	raccoon	raccoon_4.wav	nomask	nonvisual	yes	nonvisual-yes	3	Is it nocturnal?	337.067322543	yes	237.165977334	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	29	bottle	bottle_3.wav	mask	nonvisual	no	nonvisual-no	3	Is it a carnivore?	344.17609468	no	306.855742936	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	30	donkey	donkey_2.wav	nomask	nonvisual	yes	nonvisual-yes	1	Is it an animal?	351.319483009	yes	143.244057865	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	31	rabbit	rabbit_3.wav	mask	visual	yes	visual-yes	3	Does it have whiskers?	358.289065507	yes	346.907852218	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	32	bottle	bottle_4.wav	nomask	nonvisual	yes	nonvisual-yes	2	Is it used for holding liquids?	365.320145878	yes	372.370213183	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	33	mouse	mouse_3.wav	nomask	visual	yes	visual-yes	1	Does it have a tail?	372.412766624	yes	210.96315264	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	34	bottle	bottle_4.wav	mask	visual	no	visual-no	1	Does it have feet?	379.418474707	no	293.176464707	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	35	table	table_4.wav	nomask	nonvisual	yes	nonvisual-yes	1	Is it used for eating on?	386.567740736	yes	33.6140909058	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	36	rabbit	rabbit_1.wav	nomask	nonvisual	yes	nonvisual-yes	1	Does it hop?	393.73358395	yes	165.638894658	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	37	penguin	penguin_3.wav	nomask	nonvisual	no	nonvisual-no	3	Is it an herbivore?	400.766636162	yes	262.57374906	0
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	38	strawberry	strawberry_4.wav	mask	visual	yes	visual-yes	4	Is it small?	408.051621904	yes	317.807509826	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	39	lion	lion_3.wav	mask	visual	yes	visual-yes	2	Does it have fur?	415.140340691	yes	284.674973838	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	40	chicken	chicken_4.wav	nomask	visual	yes	visual-yes	3	Does it have a beak?	422.13822224	yes	375.201833871	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	41	grasshopper	grasshopper_2.wav	mask	visual	yes	visual-yes	4	Does it have antennae?	429.318735137	yes	242.428767902	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	42	mouse	mouse_1.wav	nomask	visual	yes	visual-yes	2	Is it grey?	436.460165273	yes	207.290857972	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	43	dog	dog_2.wav	mask	nonvisual	yes	nonvisual-yes	3	Is it a pet?	443.481508487	yes	432.84765823	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	44	strawberry	strawberry_1.wav	nomask	nonvisual	no	nonvisual-no	1	Is is used for riding?	450.767462019	no	111.630661821	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	45	dog	dog_4.wav	mask	visual	yes	visual-yes	1	Does it have four legs?	457.786840021	yes	289.694842359	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	46	table	table_1.wav	mask	nonvisual	no	nonvisual-no	4	Does it grow in Hawaii?	464.926343158	no	222.502143617	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	47	pineapple	pineapple_1.wav	mask	nonvisual	yes	nonvisual-yes	5	Is it prickly?	472.134191216	yes	136.452379287	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	48	grasshopper	grasshopper_1.wav	nomask	nonvisual	yes	nonvisual-yes	4	Does it fly?	479.345940453	no	90.6968664494	0
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	49	deer	deer_4.wav	nomask	visual	yes	visual-yes	2	Does it have four legs?	486.40828173	yes	274.547504116	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	50	donkey	donkey_1.wav	mask	nonvisual	yes	nonvisual-yes	5	Does it make noises?	493.631747374	yes	124.129643169	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	51	giraffe	giraffe_2.wav	nomask	nonvisual	yes	nonvisual-yes	3	Does it live in zoos?	500.85033703	yes	77.7701396146	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	52	pig	pig_1.wav	nomask	visual	yes	visual-yes	3	Does it have a snout?	507.827731635	yes	289.29985041	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	53	swan	swan_1.wav	nomask	visual	no	visual-no	1	Does it have a hump?	515.155683771	no	325.698771223	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	54	pineapple	pineapple_2.wav	nomask	nonvisual	yes	nonvisual-yes	1	Is it juicy?	522.523693475	yes	346.142043476	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	55	dog	dog_2.wav	mask	visual	yes	visual-yes	2	Does it have legs?	529.534283004	yes	308.417384484	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	56	giraffe	giraffe_3.wav	nomask	visual	no	visual-no	3	Is it muddy?	536.681577582	no	200.74405105	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	57	raccoon	raccoon_4.wav	mask	nonvisual	no	nonvisual-no	3	Is it used for holding beer?	543.752713961	no	176.374254312	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	58	lion	lion_4.wav	mask	nonvisual	yes	nonvisual-yes	4	Does it live in jungles?	550.745809985	yes	290.962481988	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	59	deer	deer_2.wav	mask	nonvisual	yes	nonvisual-yes	4	Is it an herbivore?	557.876426777	yes	248.394199676	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	60	chicken	chicken_4.wav	mask	nonvisual	yes	nonvisual-yes	3	Does it eat grain?	564.83818391	yes	508.303994866	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	61	giraffe	giraffe_3.wav	mask	nonvisual	yes	nonvisual-yes	2	Does it live in Africa?	572.018690958	yes	151.656256348	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	62	rabbit	rabbit_4.wav	mask	nonvisual	yes	nonvisual-yes	4	Is it hunted by people?	579.115206256	yes	526.231484022	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	0	63	strawberry	strawberry_4.wav	mask	nonvisual	no	nonvisual-no	4	Does it eat?	586.400222022	no	389.299109549	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	1	64	bottle	bottle_3.wav	nomask	visual	yes	visual-yes	2	Is it made of plastic?	603.618578505	yes	90.6769803842	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	1	65	swan	swan_3.wav	nomask	nonvisual	yes	nonvisual-yes	3	Does it live on water?	610.954357565	yes	335.501435096	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	1	66	giraffe	giraffe_2.wav	nomask	visual	yes	visual-yes	4	Is it brown?	618.156342351	yes	322.206231067	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	1	67	mouse	mouse_4.wav	mask	nonvisual	yes	nonvisual-yes	5	Does it eat cheese?	625.225516638	yes	409.735363151	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	1	68	rabbit	rabbit_2.wav	nomask	visual	yes	visual-yes	1	Does it have ears?	632.276149308	yes	289.949851984	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	1	69	raccoon	raccoon_2.wav	nomask	visual	no	visual-no	3	Does it have green leaves?	639.374625528	no	104.659228731	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	1	70	chicken	chicken_1.wav	nomask	nonvisual	yes	nonvisual-yes	2	Does it live on a farm?	646.338327207	yes	188.394020312	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	1	71	giraffe	giraffe_4.wav	nomask	visual	yes	visual-yes	3	Does it have long legs?	653.519809842	yes	255.885789986	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	1	72	raccoon	raccoon_4.wav	nomask	visual	yes	visual-yes	3	Does it have eyes?	660.608521221	yes	638.504738919	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	1	73	grasshopper	grasshopper_4.wav	mask	visual	yes	visual-yes	1	Is it green?	667.747038242	yes	355.677610118	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	1	74	swan	swan_3.wav	mask	nonvisual	no	nonvisual-no	4	Does it travel in herds?	675.093560461	yes	448.009423679	0
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	1	75	table	table_4.wav	nomask	visual	no	visual-no	2	Does it have a nose?	682.213517148	no	317.908889818	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	1	76	dog	dog_3.wav	nomask	visual	no	visual-no	2	Is it pink?	689.291485369	no	228.957708547	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	1	77	bottle	bottle_1.wav	mask	nonvisual	yes	nonvisual-yes	5	Is it used for holding beer?	696.429015495	yes	522.104149219	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	1	78	pig	pig_1.wav	mask	visual	yes	visual-yes	5	Is it muddy?	703.384919495	yes	414.444852999	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	1	79	swan	swan_4.wav	mask	visual	yes	visual-yes	1	Does it have a long neck?	710.667971219	yes	469.445439812	1
MWPF201	201	WR	2014_May_01_0851	MWPF2	LL-Kramer	1	80	giraffe	giraffe_1.wav	mask	nonvisual	yes	nonvisual-yes	4	Is it a mammal?	717.830888451	yes	321.294591122	1
