"subj_id","block_ix","trial_ix","cue","question","question_id","mask_type","mask_c","feat_type","feat_c","truth_coded","truth_normed","truth","truth_c","imagery_mean","imagery_z","facts_mean","facts_z","diff_mean","diff_z","prop_visual","senses_mean","response","rt","is_correct","is_error"
"MWPF201",0,0,"chicken","Is it used for making jam?","chicken:nonvisual:no:3","nomask",-0.5,"nonvisual",-0.5,"no","no","no",-0.5,0.5,-1.44212492668872,0.25,-1.17730345186465,-2,-1.20122384464089,0.555555555555556,2.33333333333333,"no",308.576862968,1,0
"MWPF201",0,1,"lion","Is it a mammal?","lion:nonvisual:yes:3","mask",0.5,"nonvisual",-0.5,"yes","yes","yes",0.5,0.666666666666667,-1.18283752904733,1.66666666666667,0.989362209550886,-1.5,-0.0744253837831102,0.461538461538462,3.83333333333333,"yes",280.429882288,1,0
"MWPF201",0,2,"donkey","Does it have hooves?","donkey:visual:yes:4","mask",0.5,"visual",0.5,"yes","yes","yes",0.5,2.57142857142857,1.78044701542564,1.57142857142857,0.843704013825471,-0.857142857142857,1.3743154944626,0.5,2,"yes",176.482262992,1,0
"MWPF201",0,3,"penguin","Is it red?","penguin:visual:no:1","mask",0.5,"visual",0.5,"no","no","no",-0.5,1.28571428571429,-0.219770052093615,0.571428571428571,-0.685707041291378,-1.85714285714286,-0.879281427252951,0.5,1,"no",220.810267754,1,0
"MWPF201",0,4,"table","Is it round?","table:visual:yes:2","nomask",-0.5,"visual",0.5,"yes","","yes",0.5,1.83333333333333,0.632174254442365,0.833333333333333,-0.285147003046489,-1.66666666666667,-0.450024870735702,0.6,1,"yes",418.384244927,1,0
"MWPF201",0,5,"penguin","Does it live in the Arctic?","penguin:nonvisual:yes:3","mask",0.5,"nonvisual",-0.5,"yes","","yes",0.5,1.57142857142857,0.224722629577331,2.28571428571429,1.93614048176608,-0.714285714285714,1.69625791185054,0.5,2,"yes",48.3270549157,1,0
"MWPF201",0,6,"pig","Does it live on farms?","pig:nonvisual:yes:2","nomask",-0.5,"nonvisual",-0.5,"yes","yes","yes",0.5,1.16666666666667,-0.404975336123176,0.833333333333333,-0.285147003046489,-1.66666666666667,-0.450024870735702,0.578947368421053,1.5,"yes",259.395486792,1,0
"MWPF201",0,7,"giraffe","Does it live in grass?","giraffe:nonvisual:no:3","mask",0.5,"nonvisual",-0.5,"no","yes","yes",0.5,2,0.89146165208375,2.09090909090909,1.63820326323682,-0.818181818181818,1.46211797193204,0.5,2.83333333333333,"yes",NA,0,1
"MWPF201",0,8,"rabbit","Does it make noises?","rabbit:nonvisual:no:2","nomask",-0.5,"nonvisual",-0.5,"no","yes","yes",0.5,1,-0.664262733764561,1.83333333333333,1.24426405207036,-0.833333333333333,1.42797256402726,0.666666666666667,1.4,"yes",NA,0,1
"MWPF201",0,9,"penguin","Is it a bird?","penguin:nonvisual:yes:1","nomask",-0.5,"nonvisual",-0.5,"yes","yes","yes",0.5,1.5,0.113599459159594,2,1.49916589458984,-1.5,-0.0744253837831102,0.5,1,"no",NA,0,1
