subj_id,seed,experimenter,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,correct_response,response,rt,is_correct
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,0,practice,1,does-it-have-four-legs:zebra,visual,Does it have four legs?,zebra,zebra_2.wav,mask,yes,yes,1281.76906286,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,0,practice,2,does-it-have-a-tail:mouse,visual,Does it have a tail?,mouse,mouse_4.wav,nomask,yes,yes,1198.50102719,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,0,practice,3,is-it-long:alligator,visual,Is it long?,alligator,alligator_2.wav,nomask,yes,yes,1406.74777701,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,0,practice,4,is-it-green:grasshopper,visual,Is it green?,grasshopper,grasshopper_3.wav,mask,yes,yes,1440.0683064,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,0,practice,5,is-it-an-animal:chair,nonvisual,Is it an animal?,chair,chair_4.wav,mask,no,no,1006.74713682,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,0,practice,6,does-it-have-a-beak:banana,visual,Does it have a beak?,banana,banana_2.wav,mask,no,no,981.792429462,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,8,does-it-eat-leaves:jacket,nonvisual,Does it eat leaves?,jacket,jacket_1.wav,mask,no,no,1215.11648037,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,9,does-it-eat:camel,nonvisual,Does it eat?,camel,camel_3.wav,mask,yes,yes,781.788268127,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,10,is-it-eaten-by-frying:giraffe,nonvisual,Is it eaten by frying?,giraffe,giraffe_2.wav,nomask,no,no,1815.11840038,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,11,does-it-produce-offspring:raccoon,nonvisual,Does it produce offspring?,raccoon,raccoon_2.wav,mask,yes,yes,1081.78250631,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,12,does-it-live-in-india:tiger,nonvisual,Does it live in India?,tiger,tiger_3.wav,nomask,yes,yes,1465.1151998,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,13,does-it-have-seeds:camel,visual,Does it have seeds?,camel,camel_4.wav,mask,no,timeout,2000.0,0
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,14,is-it-red:strawberry,visual,Is it red?,strawberry,strawberry_4.wav,nomask,yes,yes,865.109757986,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,15,does-it-have-hair:jacket,visual,Does it have hair?,jacket,jacket_3.wav,mask,no,no,1015.123202,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,16,does-it-live-in-africa:elephant,nonvisual,Does it live in Africa?,elephant,elephant_3.wav,mask,yes,yes,740.145768039,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,17,is-it-red:zebra,visual,Is it red?,zebra,zebra_1.wav,nomask,no,no,1281.77514439,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,18,is-it-brown:camel,visual,Is it brown?,camel,camel_2.wav,mask,yes,yes,956.764741335,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,19,is-it-an-animal:zebra,nonvisual,Is it an animal?,zebra,zebra_4.wav,nomask,yes,yes,906.787147745,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,20,is-it-an-animal:lion,nonvisual,Is it an animal?,lion,lion_2.wav,mask,yes,yes,706.670315471,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,21,does-it-have-a-neck:table,visual,Does it have a neck?,table,table_4.wav,mask,no,no,865.126082674,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,22,does-it-have-ears:elephant,visual,Does it have ears?,elephant,elephant_2.wav,nomask,yes,yes,781.751778442,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,23,does-it-have-a-seat:rabbit,visual,Does it have a seat?,rabbit,rabbit_3.wav,nomask,no,no,1290.12304172,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,24,is-it-worn-for-the-rain:jacket,nonvisual,Is it worn for the rain?,jacket,jacket_2.wav,nomask,yes,yes,1181.7428153,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,25,does-it-live-on-water:mouse,nonvisual,Does it live on water?,mouse,mouse_2.wav,mask,no,no,1365.11808028,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,26,is-it-used-by-riding:swan,nonvisual,Is it used by riding?,swan,swan_2.wav,nomask,no,no,1406.80923359,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,27,is-it-used-for-sitting-on:chair,nonvisual,Is it used for sitting on?,chair,chair_3.wav,mask,yes,yes,548.914901447,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,28,is-it-used-for-cider:apple,nonvisual,Is it used for cider?,apple,apple_3.wav,nomask,yes,yes,815.105597023,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,29,is-it-a-fruit:strawberry,nonvisual,Is it a fruit?,strawberry,strawberry_1.wav,mask,yes,yes,840.907257982,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,30,does-it-have-a-peel:banana,visual,Does it have a peel?,banana,banana_2.wav,nomask,yes,yes,690.687676892,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,31,is-it-a-mammal:bike,nonvisual,Is it a mammal?,bike,bike_1.wav,nomask,no,no,648.429967929,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,32,does-it-have-a-beak:apple,visual,Does it have a beak?,apple,apple_4.wav,nomask,no,no,706.787148025,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,33,does-it-have-green-leaves:raccoon,visual,Does it have green leaves?,raccoon,raccoon_1.wav,nomask,no,no,706.743936054,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,34,is-it-pink:pig,visual,Is it pink?,pig,pig_2.wav,mask,yes,yes,706.68888092,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,35,is-it-a-fruit:chair,nonvisual,Is it a fruit?,chair,chair_2.wav,nomask,no,no,665.13504507,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,36,does-it-eat-people:deer,nonvisual,Does it eat people?,deer,deer_1.wav,nomask,no,no,890.101275872,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,37,does-it-have-eyes:bottle,visual,Does it have eyes?,bottle,bottle_4.wav,nomask,no,no,906.767942477,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,38,does-it-like-mud:penguin,nonvisual,Does it like mud?,penguin,penguin_1.wav,nomask,no,no,1065.13504498,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,39,does-it-lay-eggs:dog,nonvisual,Does it lay eggs?,dog,dog_3.wav,nomask,no,yes,1348.45141368,0
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,40,is-it-smelly:pig,nonvisual,Is it smelly?,pig,pig_3.wav,nomask,yes,yes,1123.14588949,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,41,does-it-roar:lion,nonvisual,Does it roar?,lion,lion_4.wav,mask,yes,yes,631.742175203,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,42,does-it-have-four-legs:donkey,visual,Does it have four legs?,donkey,donkey_3.wav,mask,yes,yes,923.430768307,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,43,does-it-grow-underground:tiger,nonvisual,Does it grow underground?,tiger,tiger_3.wav,nomask,no,no,1123.3926774,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,44,is-it-fast:banana,nonvisual,Is it fast?,banana,banana_4.wav,nomask,no,no,740.09807501,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,45,does-it-have-a-pointed-end:donkey,visual,Does it have a pointed end?,donkey,donkey_2.wav,mask,no,no,1015.18817991,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,46,is-it-a-container:bottle,nonvisual,Is it a container?,bottle,bottle_4.wav,nomask,yes,yes,1306.75865989,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,47,is-it-black:penguin,visual,Is it black?,penguin,penguin_1.wav,mask,yes,yes,690.11279894,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,48,is-it-a-reptile:elephant,nonvisual,Is it a reptile?,elephant,elephant_2.wav,mask,no,no,831.906700972,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,49,does-it-have-feathers:swan,visual,Does it have feathers?,swan,swan_3.wav,nomask,yes,yes,1115.10975845,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,50,does-it-waddle:lion,nonvisual,Does it waddle?,lion,lion_3.wav,mask,no,no,806.786827743,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,51,is-it-an-animal:bottle,nonvisual,Is it an animal?,bottle,bottle_3.wav,mask,no,no,831.791468896,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,52,is-it-tropical:pineapple,nonvisual,Is it tropical?,pineapple,pineapple_3.wav,mask,yes,yes,923.439090606,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,53,is-it-green:giraffe,visual,Is it green?,giraffe,giraffe_1.wav,nomask,no,no,773.428527638,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,54,does-it-live-in-the-desert:alligator,nonvisual,Does it live in the desert?,alligator,alligator_2.wav,nomask,no,no,981.759140268,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,55,does-it-have-an-inside:pineapple,visual,Does it have an inside?,pineapple,pineapple_4.wav,nomask,yes,yes,948.437650222,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,56,does-it-have-a-cushion:deer,visual,Does it have a cushion?,deer,deer_4.wav,nomask,no,no,806.761220563,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,57,does-it-have-four-legs:elephant,visual,Does it have four legs?,elephant,elephant_2.wav,nomask,yes,yes,690.114399418,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,58,does-it-have-feet:bike,visual,Does it have feet?,bike,bike_1.wav,mask,no,no,698.250398505,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,59,is-it-used-for-eating-on:table,nonvisual,Is it used for eating on?,table,table_2.wav,nomask,yes,yes,806.773704011,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,60,is-it-made-of-wood:grasshopper,visual,Is it made of wood?,grasshopper,grasshopper_1.wav,nomask,no,no,682.145166211,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,61,does-it-have-sleeves:jacket,visual,Does it have sleeves?,jacket,jacket_3.wav,nomask,yes,yes,715.067826677,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,62,is-it-furry:donkey,nonvisual,Is it furry?,donkey,donkey_3.wav,mask,yes,yes,1190.10607712,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,63,does-it-have-ears:strawberry,visual,Does it have ears?,strawberry,strawberry_1.wav,mask,no,no,715.145607945,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,64,does-it-have-many-cars:carrot,visual,Does it have many cars?,carrot,carrot_2.wav,mask,no,no,748.478941154,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,65,does-it-grow-in-tropical-climates:train,nonvisual,Does it grow in tropical climates?,train,train_2.wav,mask,no,no,948.375552893,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,66,does-it-have-four-legs:swan,visual,Does it have four legs?,swan,swan_3.wav,nomask,no,yes,981.921104714,0
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,67,does-it-live-in-a-coop:chicken,nonvisual,Does it live in a coop?,chicken,chicken_2.wav,mask,yes,yes,956.737854052,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,68,does-it-have-hooves:banana,visual,Does it have hooves?,banana,banana_2.wav,nomask,no,no,756.771143526,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,69,does-it-have-an-engine:train,visual,Does it have an engine?,train,train_3.wav,nomask,yes,yes,573.4051615,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,1,test,70,does-it-have-whiskers:pineapple,visual,Does it have whiskers?,pineapple,pineapple_4.wav,nomask,no,no,790.107357316,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,2,test,72,does-it-have-legs:grasshopper,visual,Does it have legs?,grasshopper,grasshopper_1.wav,mask,yes,yes,990.072787739,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,2,test,73,does-it-have-long-legs:giraffe,visual,Does it have long legs?,giraffe,giraffe_3.wav,nomask,yes,yes,1056.76922249,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,2,test,74,does-it-have-a-hump:camel,visual,Does it have a hump?,camel,camel_1.wav,mask,yes,yes,490.099355578,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,2,test,75,is-it-prickly:dog,nonvisual,Is it prickly?,dog,dog_3.wav,mask,no,no,656.849884894,1
PV148,148,XL,2016_Apr_06_1101,LL-Jerry,2,test,76,is-it-an-animal:mouse,nonvisual,Is it an animal?,mouse,mouse_4.wav,mask,yes,yes,781.778985634,1
