ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,room,subj_id,version,Room (to be filled in by experimenter),Subj id (to be filled in by experimenter),task_intro,strategy,problem_questions,prop_mask-Select a proportion (percentage) between 0 and 100 by dragging the slider.,To what extent did you look at the flashing rectangles?-To what extent did you look at the flashing rectangle?,prop_yes_resp-Select a proportion (percentage) between 0 and 100 by dragging the slider.,effect_of_mask,last_page,age,gender,native,other_lang,LocationLatitude,LocationLongitude,LocationAccuracy,Unnamed: 30
R_508YhMsBbdgCXMV,Default Response Set,Anonymous,,,128.104.131.64,0,5/1/14 9:24,5/1/14 9:26,1,LL-Kramer,MWPF201,MWPF2,,,1,I ANSWERED THE QUESTION IN MY HEAD BEFORE I HEARD IT IN THE HEADPHONES,NONE,41,,71,4,1,20,2,1,NONE,43.07609558,-89.41040039,-1,
R_1NUCyc7R37w7cbP,Default Response Set,Anonymous,,,128.104.131.73,0,5/1/14 9:26,5/1/14 9:28,1,LL-George,MWPF202,MWPF2,,,1,"I categorized the words, by either animal, object, or item.",Not sure,8,,84,4,1,19,1,1,Spanish,43.07609558,-89.41040039,-1,
R_dhAbm5Rr6zAu0hD,Default Response Set,Anonymous,,,128.104.131.140,0,5/1/14 9:28,5/1/14 9:33,1,LL-Elaine,MWPF203,MWPF2,,,1,"No, not really. ",Is it beige?- Camel / Does it have stripes?-raccoon,35,,70,4,1,20,2,1,I'm a heritage speaker of Russian. English has been my primary/first language for the past 10 years. ,43.07609558,-89.41040039,-1,
R_eh9rtzQol85IW8J,Default Response Set,Anonymous,,,128.104.131.67,0,5/1/14 9:30,5/1/14 9:33,1,LL-Jerry,MWPF204,MWPF2,,,1,Tried to think of what the answer could be before it was said.,"None that were difficult conceptually, but there were a couple that I rushed through. For example: Do pigs live in India? Having been there, livestock are all over and so my first instinct was to say yes.",25,,75,4,1,18,2,1,,43.07609558,-89.41040039,-1,
R_eQI0Yaz0FdPEANT,Default Response Set,Anonymous,,,128.104.131.64,0,5/1/14 10:04,5/1/14 10:06,1,LL-Kramer,MWPF205,MWPF2,,,1,"I made sure not to press on the keys before I saw the question mark, because when I did, the answer wouldn't register and I had to press it again. This would make my responses take longer. ","I was not too familiar with raccoon imagery, so I kept getting those questions wrong. ",41,,91,4,1,22,2,1,,43.07609558,-89.41040039,-1,
R_4HEf9XzoA1Nzetv,Default Response Set,Anonymous,,,128.104.131.73,0,5/1/14 10:35,5/1/14 10:37,1,LL-George,MWPF206,MWPF2,,,1,"The woman kept using the same choices, so I remembered those and would guess the answer to the question before she said them.",,40,,70,5,1,20,2,1,,43.07609558,-89.41040039,-1,
R_bkL4Ybhvu5VShjn,Default Response Set,Anonymous,,,128.104.131.64,0,5/1/14 12:53,5/1/14 12:56,1,LL-Kramer,MWPF207,MWPF2,,,1,"No strategy, just reacted to the question and the word given.",No questions that I found particularly difficult.,45,,80,4,1,20,1,1,Spanish,43.07609558,-89.41040039,-1,
R_07iKP4Et0Z5C8JL,Default Response Set,Anonymous,,,128.104.131.73,0,5/1/14 12:58,5/1/14 13:00,1,LL-George,MWPF208,MWPF2,,,1,Read the question and then looked down at the keyboard as I was listening to the word,One question in particular: when it asked if it had a neck and it said that a bottle had a neck,100,,90,4,1,19,2,1,,43.07609558,-89.41040039,-1,
R_e8z2oOaXmG5pwa1,Default Response Set,Anonymous,,,128.104.131.140,0,5/1/14 13:01,5/1/14 13:03,1,LL-Elaine,MWPF209,MWPF2,,,1,"When I saw the question, I imagined things that had that property.","One asking if it had a jaws.  Technically all animals have jaws.  Also the ones if it lived in a zoo, could be applied to pretty much any animal.",40,,70,4,1,25,1,1,,43.07609558,-89.41040039,-1,
R_6mVjRKCuKvdjT25,Default Response Set,Anonymous,,,128.104.131.64,0,5/1/14 13:29,5/1/14 13:31,1,LL-Kramer,MWPF210,MWPF2,,,1,i put my fingers on the two buttons pre question ,no,40,,81,5,1,19,1,1,,43.07609558,-89.41040039,-1,
