subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,correct_response,response,rt,is_correct
MWPR123,123,2016_Jan_28_1356,LL-Kramer,0,practice,0,does-it-have-a-tail:dog,visual,Does it have a tail?,dog,dog_2.wav,mask,yes,yes,422.628307308,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,0,practice,1,does-it-have-four-legs:dog,visual,Does it have four legs?,dog,dog_1.wav,nomask,yes,yes,31.7620209098,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,0,practice,2,does-it-have-wings:penguin,visual,Does it have wings?,penguin,penguin_2.wav,nomask,yes,yes,300.72467943,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,0,practice,3,is-it-worn-for-the-rain:jacket,nonvisual,Is it worn for the rain?,jacket,jacket_3.wav,nomask,yes,yes,344.390136161,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,0,practice,4,does-it-have-four-legs:zebra,visual,Does it have four legs?,zebra,zebra_4.wav,mask,yes,yes,307.82199261,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,0,practice,5,is-it-hunted-by-people:grasshopper,nonvisual,Is it hunted by people?,grasshopper,grasshopper_2.wav,nomask,no,no,222.117446727,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,0,practice,6,is-it-brown:camel,visual,Is it brown?,camel,camel_3.wav,nomask,yes,yes,155.366916981,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,0,practice,7,is-it-long:grasshopper,visual,Is it long?,grasshopper,grasshopper_3.wav,nomask,no,yes,358.010204407,0
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,9,does-it-grow-in-hawaii:pineapple,nonvisual,Does it grow in Hawaii?,pineapple,pineapple_1.wav,mask,yes,yes,638.560691907,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,10,does-it-have-a-tail:toad,visual,Does it have a tail?,toad,toad_4.wav,nomask,no,no,499.925099386,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,11,does-it-have-a-beak:chicken,visual,Does it have a beak?,chicken,chicken_1.wav,mask,yes,yes,104.727380967,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,12,is-it-eaten-by-frying:giraffe,nonvisual,Is it eaten by frying?,giraffe,giraffe_1.wav,nomask,no,no,239.382678119,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,13,is-it-a-vegetable:carrot,nonvisual,Is it a vegetable?,carrot,carrot_2.wav,mask,yes,yes,57.1814963478,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,14,is-it-a-fruit:rabbit,nonvisual,Is it a fruit?,rabbit,rabbit_1.wav,mask,no,no,75.8208659099,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,15,is-it-red:apple,visual,Is it red?,apple,apple_3.wav,mask,yes,yes,417.403509447,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,16,does-it-have-teeth:lion,visual,Does it have teeth?,lion,lion_3.wav,nomask,yes,yes,312.052596884,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,17,does-it-have-wings:pig,visual,Does it have wings?,pig,pig_2.wav,mask,no,no,293.302796927,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,18,does-it-have-a-white-tail:deer,visual,Does it have a white tail?,deer,deer_2.wav,nomask,yes,yes,33.9373395691,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,19,does-it-have-a-top:dog,visual,Does it have a top?,dog,dog_1.wav,mask,yes,yes,1173.03898033,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,20,does-it-have-wings:lion,visual,Does it have wings?,lion,lion_2.wav,mask,no,no,157.267279952,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,21,does-it-require-a-conductor:grasshopper,nonvisual,Does it require a conductor?,grasshopper,grasshopper_1.wav,mask,no,no,382.263598949,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,22,is-it-a-rodent:mouse,nonvisual,Is it a rodent?,mouse,mouse_3.wav,nomask,yes,yes,524.049818516,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,23,is-it-long:banana,visual,Is it long?,banana,banana_3.wav,mask,yes,yes,395.383369512,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,24,does-it-have-a-core:pineapple,visual,Does it have a core?,pineapple,pineapple_3.wav,nomask,yes,no,563.994571305,0
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,25,does-it-have-whiskers:tiger,visual,Does it have whiskers?,tiger,tiger_4.wav,mask,yes,yes,198.336822286,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,26,is-it-used-for-holding-beer:bottle,nonvisual,Is it used for holding beer?,bottle,bottle_3.wav,mask,yes,yes,435.850506052,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,27,is-it-found-at-tables:chair,nonvisual,Is it found at tables?,chair,chair_4.wav,mask,yes,yes,25.6701044127,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,28,does-it-live-in-africa:zebra,nonvisual,Does it live in Africa?,zebra,zebra_1.wav,nomask,yes,yes,118.099380954,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,29,does-it-have-a-hump:swan,visual,Does it have a hump?,swan,swan_2.wav,nomask,no,no,25.6717048469,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,30,is-it-large:mouse,visual,Is it large?,mouse,mouse_2.wav,nomask,no,no,69.5740267693,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,31,does-it-have-a-hump:camel,visual,Does it have a hump?,camel,camel_4.wav,mask,yes,yes,282.793024642,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,32,is-it-an-animal:tiger,nonvisual,Is it an animal?,tiger,tiger_4.wav,mask,yes,yes,76.9459755247,1
MWPR123,123,2016_Jan_28_1356,LL-Kramer,1,test,33,does-it-have-seeds:bottle,visual,Does it have seeds?,bottle,bottle_1.wav,mask,no,no,185.282989871,1
