block_ix,trial_ix,cue,cue_file,cue_mask,ftype,response,qtype,qid,question
-1,-17,swan,swan_4.wav,nomask,visual,yes,visual-yes,1,Does it have a long neck?
-1,-16,pineapple,pineapple_2.wav,mask,visual,no,visual-no,1,Does it have legs?
-1,-15,elephant,elephant_4.wav,nomask,nonvisual,no,nonvisual-no,5,Does it lay eggs?
-1,-14,dog,dog_2.wav,mask,nonvisual,yes,nonvisual-yes,4,Is it used for protection?
-1,-13,table,table_1.wav,mask,nonvisual,no,nonvisual-no,3,Is it healthy?
-1,-12,alligator,alligator_4.wav,mask,nonvisual,no,nonvisual-no,1,Is it a mammal?
-1,-11,donkey,donkey_3.wav,nomask,nonvisual,no,nonvisual-no,3,Is it furniture?
-1,-10,giraffe,giraffe_2.wav,nomask,visual,no,visual-no,4,Does it have antennae?
-1,-9,penguin,penguin_1.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it unable to fly?
-1,-8,pig,pig_2.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it an animal?
-1,-7,apple,apple_3.wav,mask,visual,yes,visual-yes,3,Does it have seeds?
-1,-6,rabbit,rabbit_1.wav,mask,visual,no,visual-no,1,Does it have spots?
-1,-5,camel,camel_4.wav,mask,visual,yes,visual-yes,3,Does it have legs?
-1,-4,strawberry,strawberry_4.wav,mask,nonvisual,yes,nonvisual-yes,3,Is it used for making jam?
-1,-3,zebra,zebra_2.wav,nomask,visual,yes,visual-yes,4,Does it have a mane?
-1,-2,chair,chair_1.wav,nomask,nonvisual,no,nonvisual-no,5,Is it an animal?
-1,-1,tiger,tiger_1.wav,nomask,nonvisual,no,nonvisual-no,4,Is it worn in winter?
0,0,dog,dog_2.wav,mask,visual,no,visual-no,1,Does it have antlers?
0,1,strawberry,strawberry_4.wav,nomask,visual,yes,visual-yes,4,Is it small?
0,2,zebra,zebra_3.wav,mask,nonvisual,no,nonvisual-no,1,Does it eat garbage?
0,3,apple,apple_3.wav,mask,visual,yes,visual-yes,3,Does it have seeds?
0,4,chair,chair_1.wav,mask,nonvisual,yes,nonvisual-yes,5,Is it found at tables?
0,5,tiger,tiger_1.wav,mask,nonvisual,yes,nonvisual-yes,4,Does it live in zoos?
0,6,pineapple,pineapple_4.wav,nomask,nonvisual,yes,nonvisual-yes,5,Is it prickly?
